condition,source_model,fold,seed,deployable,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,eligible_rna_count,beneficial_edit_count,harmful_edit_count,original_tp_count,tp_after_count,original_fp_count
V3_BASE,rnafold,0,67,True,-0.00631631515482447,-0.01390661934584081,0.21428571428571427,0.08333333333333333,0.9644012944983819,14,4,25,3,11,309,298,36
V3_BASE,petfold,0,67,True,-0.0019982761756890313,-0.008647493198600809,0.3888888888888889,0.16666666666666666,0.9642857142857143,18,7,25,7,11,308,297,42
V3_BASE,trrosettarna2_native_ss,0,67,True,0.053181539291131535,0.06199987796128004,0.9137931034482759,0.7464788732394366,0.9841772151898734,58,19,25,53,5,316,311,71
V3_BASE,rnafold,1,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,243,33
V3_BASE,petfold,1,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,242,36
V3_BASE,trrosettarna2_native_ss,1,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,246,53
V3_BASE,rnafold,1,29,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,243,33
V3_BASE,petfold,1,29,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,242,36
V3_BASE,trrosettarna2_native_ss,1,29,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,246,53
V3_BASE,rnafold,1,41,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,243,33
V3_BASE,petfold,1,41,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,242,36
V3_BASE,trrosettarna2_native_ss,1,41,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,246,53
V3_BASE,rnafold,1,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,243,33
V3_BASE,petfold,1,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,242,36
V3_BASE,trrosettarna2_native_ss,1,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,246,53
V3_BASE,rnafold,1,67,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,243,33
V3_BASE,petfold,1,67,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,242,36
V3_BASE,trrosettarna2_native_ss,1,67,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,246,53
V3_BASE,rnafold,2,17,True,-0.0024286287125712077,-0.005252208815683224,0.4166666666666667,0.05102040816326531,0.9801136363636364,12,3,24,5,7,352,345,98
V3_BASE,petfold,2,17,True,-0.0007747964327242327,-0.0039059231219820134,0.5263157894736842,0.0970873786407767,0.9741379310344828,19,5,24,10,9,348,339,103
V3_BASE,trrosettarna2_native_ss,2,17,True,0.05903483928391764,0.0863475645942321,0.9487179487179487,0.7350993377483444,0.9826086956521739,117,20,24,111,6,345,339,151
V3_BASE,rnafold,2,29,True,-0.00043182739697099115,-0.0015024798210638846,0.5,0.030612244897959183,0.9914772727272727,6,4,24,3,3,352,349,98
V3_BASE,petfold,2,29,True,0.0014950403884415736,0.0007758512029976128,0.6428571428571429,0.08737864077669903,0.985632183908046,14,6,24,9,5,348,343,103
V3_BASE,trrosettarna2_native_ss,2,29,True,0.061329989496611975,0.08924746251326299,0.95,0.7549668874172185,0.9826086956521739,120,21,24,114,6,345,339,151
V3_BASE,rnafold,2,41,True,-0.002492789458303867,-0.002325925195880374,0.5555555555555556,0.10204081632653061,0.9772727272727273,18,5,24,10,8,352,344,98
V3_BASE,petfold,2,41,True,0.0006898326121157067,0.0022965256108239407,0.6666666666666666,0.13592233009708737,0.9798850574712644,21,7,24,14,7,348,341,103
V3_BASE,trrosettarna2_native_ss,2,41,True,0.06405429304903287,0.08731189023476904,0.9491525423728814,0.7417218543046358,0.9826086956521739,118,20,24,112,6,345,339,151
V3_BASE,rnafold,2,53,True,-0.0010956564974365184,0.0009271978021977434,0.6428571428571429,0.09183673469387756,0.9857954545454546,14,5,24,9,5,352,347,98
V3_BASE,petfold,2,53,True,0.0006349559317473848,0.0022965256108239407,0.6666666666666666,0.13592233009708737,0.9798850574712644,21,7,24,14,7,348,341,103
V3_BASE,trrosettarna2_native_ss,2,53,True,0.05739933870179081,0.08446277351804776,0.9333333333333333,0.7417218543046358,0.9768115942028985,120,20,24,112,8,345,337,151
V3_BASE,rnafold,2,67,True,-0.005441708035593247,-0.003537087912087955,0.5,0.07142857142857142,0.9801136363636364,14,6,24,7,7,352,345,98
V3_BASE,petfold,2,67,True,-0.002608245419007708,4.933459958800235e-05,0.6190476190476191,0.1262135922330097,0.9770114942528736,21,8,24,13,8,348,340,103
V3_BASE,trrosettarna2_native_ss,2,67,True,0.06553534420652005,0.09216824805235901,0.9512195121951219,0.7748344370860927,0.9826086956521739,123,20,24,117,6,345,339,151
V3_BASE,rnafold,3,17,True,-0.0008768746976294169,-0.0017386171554291119,0.0,0.0,0.9965156794425087,1,1,24,0,1,287,286,15
V3_BASE,petfold,3,17,True,-0.001726262391775174,-0.002484740452654899,0.42857142857142855,0.15789473684210525,0.9859154929577465,7,3,24,3,4,284,280,19
V3_BASE,trrosettarna2_native_ss,3,17,True,0.05270723033107457,0.08676318564578889,0.9577464788732394,0.8,0.9885931558935361,71,20,24,68,3,263,260,85
V3_BASE,rnafold,3,29,True,-0.002420084574172629,-0.0034829440552111013,0.0,0.0,0.9930313588850174,2,2,24,0,2,287,285,15
V3_BASE,petfold,3,29,True,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,24,3,5,284,279,19
V3_BASE,trrosettarna2_native_ss,3,29,True,0.049497353787864684,0.08295281582952818,0.9315068493150684,0.8,0.9809885931558935,73,20,24,68,5,263,258,85
V3_BASE,rnafold,3,41,True,-0.0008768746976294169,-0.0017386171554291119,0.0,0.0,0.9965156794425087,1,1,24,0,1,287,286,15
V3_BASE,petfold,3,41,True,-0.001726262391775174,-0.002484740452654899,0.42857142857142855,0.15789473684210525,0.9859154929577465,7,3,24,3,4,284,280,19
V3_BASE,trrosettarna2_native_ss,3,41,True,0.0510405636644079,0.0848612574639972,0.9444444444444444,0.8,0.9847908745247148,72,20,24,68,4,263,259,85
V3_BASE,rnafold,3,53,True,-0.002420084574172629,-0.0034829440552111013,0.0,0.0,0.9930313588850174,2,2,24,0,2,287,285,15
V3_BASE,petfold,3,53,True,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,24,3,5,284,279,19
V3_BASE,trrosettarna2_native_ss,3,53,True,0.05183421445805869,0.08637747336377477,0.9452054794520548,0.8117647058823529,0.9847908745247148,73,20,24,69,4,263,259,85
V3_BASE,rnafold,3,67,True,-0.002420084574172629,-0.0034829440552111013,0.0,0.0,0.9930313588850174,2,2,24,0,2,287,285,15
V3_BASE,petfold,3,67,True,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,24,3,5,284,279,19
V3_BASE,trrosettarna2_native_ss,3,67,True,0.05072310334694758,0.08525147863786409,0.9571428571428572,0.788235294117647,0.9885931558935361,70,20,24,67,3,263,260,85
V3_BASE,rnafold,4,17,True,0.00047274387063119444,0.0014461538461538748,1.0,0.02631578947368421,1.0,1,1,24,1,0,282,282,38
V3_BASE,petfold,4,17,True,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,281,41
V3_BASE,trrosettarna2_native_ss,4,17,True,0.06426734785077091,0.06121839921443284,0.9782608695652174,0.625,0.9965635738831615,46,22,24,45,1,291,290,72
V3_BASE,rnafold,4,29,True,0.0,0.0,,0.0,1.0,0,0,24,0,0,282,282,38
V3_BASE,petfold,4,29,True,0.003160225442834142,0.004309287204024015,1.0,0.07317073170731707,1.0,3,2,24,3,0,281,281,41
V3_BASE,trrosettarna2_native_ss,4,29,True,0.06693595437077121,0.06271997068664603,0.9787234042553191,0.6388888888888888,0.9965635738831615,47,21,24,46,1,291,290,72
V3_BASE,rnafold,4,41,True,0.00047274387063119444,0.0014461538461538748,1.0,0.02631578947368421,1.0,1,1,24,1,0,282,282,38
V3_BASE,petfold,4,41,True,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,281,41
V3_BASE,trrosettarna2_native_ss,4,41,True,0.062318030111979485,0.059721648196384036,0.9777777777777777,0.6111111111111112,0.9965635738831615,45,22,24,44,1,291,290,72
V3_BASE,rnafold,4,53,True,-0.0012299229387189674,-0.0020784565916398545,0.3333333333333333,0.02631578947368421,0.9929078014184397,3,2,24,1,2,282,280,38
V3_BASE,petfold,4,53,True,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,281,41
V3_BASE,trrosettarna2_native_ss,4,53,True,0.06736877520198988,0.061000579486188866,0.9583333333333334,0.6388888888888888,0.993127147766323,48,21,24,46,2,291,289,72
V3_BASE,rnafold,4,67,True,-0.00023148148148148065,-0.0003133226324237848,0.5,0.02631578947368421,0.9964539007092199,2,1,24,1,1,282,281,38
V3_BASE,petfold,4,67,True,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,281,41
