condition,track,scope,aggregation,metric,mean,population_sd,min,max,n
CER,unpaired,NON_EVIDENCED,event_pooled,tp_preservation,0.990714881358502,0.0015908345984187433,0.9888712000606474,0.9928587673413691,5
CER,unpaired,NON_EVIDENCED,rna_balanced,coverage,0.05916547404927064,0.0027708362200730063,0.05548086335633416,0.06314694776450644,5
CER,unpaired,NON_EVIDENCED,rna_balanced,fp_removal,0.6103160052426894,0.021818094704657322,0.5825993496203654,0.6425361096886593,5
CER,unpaired,NON_EVIDENCED,rna_balanced,lost_tp,1224.8,209.8469918774153,942.0,1468.0,5
CER,unpaired,NON_EVIDENCED,rna_balanced,modification_precision,0.9400386124470433,0.009673625000311844,0.9245248471187865,0.9483456615455176,5
CER,unpaired,NON_EVIDENCED,rna_balanced,removed_fp,8348.0,398.56894008439747,7828.0,8833.0,5
CER,unpaired,NON_EVIDENCED,rna_balanced,tp_preservation,0.9927031514547237,0.0018214554643812661,0.990253598004275,0.9945103581147061,5
CER_EVIDENCE_MASKED,combined,DIRECT,event_pooled,coverage,0.005977680737506065,0.0010881499135542076,0.004706453178068898,0.007811741872877244,5
CER_EVIDENCE_MASKED,combined,DIRECT,event_pooled,fp_removal,,,,,0
CER_EVIDENCE_MASKED,combined,DIRECT,event_pooled,lost_tp,123.2,22.426769718352215,97.0,161.0,5
CER_EVIDENCE_MASKED,combined,DIRECT,event_pooled,modification_precision,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,combined,DIRECT,event_pooled,opportunity_count,20610.0,0.0,20610.0,20610.0,5
CER_EVIDENCE_MASKED,combined,DIRECT,event_pooled,removed_fp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,combined,DIRECT,event_pooled,tp_preservation,0.994022319262494,0.0010881499135542054,0.9921882581271227,0.995293546821931,5
CER_EVIDENCE_MASKED,combined,DIRECT,rna_balanced,coverage,0.007449435851899992,0.0028822850582909364,0.0036925983095969597,0.012244138370704162,5
CER_EVIDENCE_MASKED,combined,DIRECT,rna_balanced,fp_removal,,,,,0
CER_EVIDENCE_MASKED,combined,DIRECT,rna_balanced,lost_tp,123.2,22.426769718352215,97.0,161.0,5
CER_EVIDENCE_MASKED,combined,DIRECT,rna_balanced,modification_precision,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,combined,DIRECT,rna_balanced,removed_fp,0.0,0.0,0.0,0.0,5
CER_EVIDENCE_MASKED,combined,DIRECT,rna_balanced,tp_preservation,0.9925505641481,0.0028822850582909654,0.9877558616292957,0.996307401690403,5
CER_EVIDENCE_MASKED,combined,LOCAL_CONFLICT,event_pooled,coverage,0.3950819672131147,0.022001082228703433,0.3549682167949147,0.41937102709936436,5
