condition,track,metric,mean,population_sd,min,max,n
CER,combined,rna_ece,0.0908964563142901,0.0025875010828390003,0.08704669237036386,0.09429133236612362,5
CER_EVIDENCE_MASKED,positive_pair,event_auprc,0.7714079324473778,0.005818196433863223,0.7635824645467196,0.7785056251785359,5
CER_EVIDENCE_MASKED,positive_pair,event_auroc,0.9151307349873179,0.0019574860994281003,0.9116387098045214,0.917379900270539,5
CER_EVIDENCE_MASKED,positive_pair,event_brier,0.06520690126930269,0.0013114630820145797,0.06347607482641608,0.06739400242091469,5
CER_EVIDENCE_MASKED,positive_pair,event_ece,0.025802072347413718,0.0015614402865740146,0.02386154732590066,0.02789724794697954,5
CER_EVIDENCE_MASKED,positive_pair,rna_auprc,0.8914715381145253,0.0020400112267074076,0.8889941958119041,0.8949254832127133,5
CER_EVIDENCE_MASKED,positive_pair,rna_auroc,0.9216196491969784,0.0008014410447457754,0.9205859400637363,0.9228065790682846,5
CER_EVIDENCE_MASKED,positive_pair,rna_brier,0.059710400194651125,0.0011305141092291652,0.0582801956285216,0.06176005562661654,5
CER_EVIDENCE_MASKED,positive_pair,rna_ece,0.10155837531920149,0.002185183244117931,0.09821575971111282,0.1041667442279012,5
CER_EVIDENCE_MASKED,unpaired,event_auprc,0.7733844338517162,0.008873134104939446,0.7581246774956989,0.7858916367720586,5
CER_EVIDENCE_MASKED,unpaired,event_auroc,0.9160511302499084,0.0018329877581084978,0.91430403657589,0.9195341117493069,5
CER_EVIDENCE_MASKED,unpaired,event_brier,0.07030498595885806,0.0013893016676066563,0.068000212101172,0.0721200133538384,5
CER_EVIDENCE_MASKED,unpaired,event_ece,0.024345567231764814,0.004407766787610403,0.017513373224730053,0.030218734855153508,5
CER_EVIDENCE_MASKED,unpaired,rna_auprc,0.8891410182590427,0.0032864171160634716,0.8830606809240403,0.892022241941878,5
CER_EVIDENCE_MASKED,unpaired,rna_auroc,0.9220762999535967,0.00046622319136316656,0.9214556906646353,0.9225603570147581,5
CER_EVIDENCE_MASKED,unpaired,rna_brier,0.05944068126783122,0.0015039159157437052,0.057130258552051436,0.06148912002123452,5
CER_EVIDENCE_MASKED,unpaired,rna_ece,0.10102307936935111,0.0035832282069133727,0.09698217080898953,0.10674963188420711,5
CER_EVIDENCE_MASKED,combined,event_auprc,0.7717258528667821,0.00686506031358794,0.7608063720109697,0.7811515600492851,5
CER_EVIDENCE_MASKED,combined,event_auroc,0.9156767763456388,0.0011530838948181504,0.9139773239429317,0.917558278577401,5
CER_EVIDENCE_MASKED,combined,event_brier,0.06780975561861578,0.001194352103741566,0.06621279678829749,0.06931889998026011,5
CER_EVIDENCE_MASKED,combined,event_ece,0.024126507322852386,0.002841226868955131,0.02046689033281638,0.02804759457611824,5
CER_EVIDENCE_MASKED,combined,rna_auprc,0.8843024498451634,0.0016855730270979668,0.8819626506185936,0.8864079320676959,5
CER_EVIDENCE_MASKED,combined,rna_auroc,0.9219390900378512,0.0007647603247387433,0.9213224564341809,0.9234375309429138,5
CER_EVIDENCE_MASKED,combined,rna_brier,0.059538159165997306,0.001056715650427534,0.05826108560410327,0.06108708789330897,5
CER_EVIDENCE_MASKED,combined,rna_ece,0.097618872848464,0.003109811667876826,0.0929937591284507,0.10146802435120361,5
