condition,track,metric,mean,population_sd,min,max,n
CER,unpaired,event_lost_tp,1224.8,209.8469918774153,942.0,1468.0,5
CER,unpaired,event_removed_fp,12969.0,398.56894008439747,12449.0,13454.0,5
CER,unpaired,rna_tp_preservation,0.992703151454724,0.00182145546438125,0.990253598004275,0.9945103581147061,5
CER,unpaired,rna_fp_removal,0.700656295630004,0.015881758535132302,0.68099007145088,0.7240941416865987,5
CER,unpaired,rna_modification_precision,0.9635005404838948,0.005545022304152103,0.956525292227385,0.9700653533697016,5
CER,unpaired,rna_coverage,0.08631746757342204,0.0026457627175579244,0.08280169107638898,0.09018823556102812,5
CER,unpaired,rna_delta_f1,0.03107662812769013,0.0006013838412267052,0.030503144809949107,0.03204655278614485,5
CER,unpaired,rna_lost_tp,1224.8,209.8469918774153,942.0,1468.0,5
CER,unpaired,rna_removed_fp,12969.0,398.56894008439747,12449.0,13454.0,5
CER,combined,event_tp_preservation,0.991586314331429,0.0011118855713419453,0.9899510020220779,0.9931203308994218,5
CER,combined,event_fp_removal,0.4755750273822564,0.013896856287543445,0.4533904211888878,0.4909290052773076,5
CER,combined,event_modification_precision,0.916102663981804,0.008851178462226576,0.9039639177147886,0.9300974658869395,5
CER,combined,event_coverage,0.08388227951537457,0.0029209766093160837,0.08003204241437661,0.08773380346032339,5
CER,combined,event_delta_f1,0.031187761826029625,0.0008450812907719517,0.02963248327245449,0.03191386381819494,5
CER,combined,event_lost_tp,2192.8,289.7829532598493,1793.0,2619.0,5
CER,combined,event_removed_fp,23881.0,697.8306384789937,22767.0,24652.0,5
CER,combined,rna_tp_preservation,0.9929304246359558,0.001604748657447339,0.990428253792285,0.9945934297253343,5
CER,combined,rna_fp_removal,0.6822000111409278,0.009345320404592156,0.6671068755365355,0.6914424044804202,5
CER,combined,rna_modification_precision,0.9595946094276563,0.005472357008066924,0.9542851254472742,0.9700170123195571,5
CER,combined,rna_coverage,0.08326300186311818,0.0023053301099442954,0.07958795803604583,0.08578096991609276,5
CER,combined,rna_delta_f1,0.029648004406068,0.0005381220665791452,0.02886414244324928,0.03043386929308079,5
CER,combined,rna_lost_tp,2192.8,289.7829532598493,1793.0,2619.0,5
CER,combined,rna_removed_fp,23881.0,697.8306384789937,22767.0,24652.0,5
CER_EVIDENCE_MASKED,positive_pair,event_tp_preservation,0.9923799460815925,0.0013793414711390129,0.9898456255389898,0.9939788521749939,5
CER_EVIDENCE_MASKED,positive_pair,event_fp_removal,0.39924012806830306,0.011938133712985733,0.3816008537886873,0.4154108858057631,5
CER_EVIDENCE_MASKED,positive_pair,event_modification_precision,0.9055782889589079,0.013121895046146729,0.8815908679108534,0.9202182417129916,5
CER_EVIDENCE_MASKED,positive_pair,event_coverage,0.06791860021822294,0.0028760463479269504,0.06384992572532833,0.07255255097345831,5
CER_EVIDENCE_MASKED,positive_pair,event_delta_f1,0.024628266165636938,0.0004990212844572981,0.024130455552902164,0.025548150452378682,5
CER_EVIDENCE_MASKED,positive_pair,event_lost_tp,980.8,177.5391787747144,775.0,1307.0,5
CER_EVIDENCE_MASKED,positive_pair,event_removed_fp,9352.2,279.65078222669075,8939.0,9731.0,5
CER_EVIDENCE_MASKED,positive_pair,rna_tp_preservation,0.9935140246031529,0.0020390366641135998,0.9898580641410027,0.995927975308824,5
CER_EVIDENCE_MASKED,positive_pair,rna_fp_removal,0.6260807985223871,0.01473254710899501,0.6009662679552271,0.6445040068964543,5
CER_EVIDENCE_MASKED,positive_pair,rna_modification_precision,0.952004498008769,0.0032751742191583786,0.9476844899111038,0.9575392245295158,5
CER_EVIDENCE_MASKED,positive_pair,rna_coverage,0.07105971698268773,0.002355261609005368,0.0677251479937032,0.07475159166692302,5
CER_EVIDENCE_MASKED,positive_pair,rna_delta_f1,0.025308844911619853,0.0007031368129842026,0.02430870947780566,0.02639917825426848,5
CER_EVIDENCE_MASKED,positive_pair,rna_lost_tp,980.8,177.5391787747144,775.0,1307.0,5
CER_EVIDENCE_MASKED,positive_pair,rna_removed_fp,9352.2,279.65078222669075,8939.0,9731.0,5
CER_EVIDENCE_MASKED,unpaired,event_tp_preservation,0.9914032294746418,0.001872105128702001,0.9884011826245167,0.9929497384580396,5
CER_EVIDENCE_MASKED,unpaired,event_fp_removal,0.37558790593505037,0.021916470007122178,0.3381858902575588,0.3986562150055991,5
