source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,macro_precision,macro_precision_defined_rna_count,macro_recall,macro_recall_defined_rna_count,macro_f1,macro_f1_defined_rna_count,macro_tp_preservation,macro_tp_preservation_defined_rna_count,macro_fp_removal,macro_fp_removal_defined_rna_count,macro_modification_precision,macro_modification_precision_defined_rna_count,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count,macro_delta_f1_vs_b0,macro_delta_f1_vs_b1,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,0.9355892875296238,121,0.9265178397858981,121,0.9271913569328215,121,0.9938180011354564,120,0.5403452007762353,58,0.8752402874903413,60,0.27197756788665883,121,0.030342135684247595,0.02094990234851024,0.0021585318379207124,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B0_ORIGINAL,605,121,0,0.8952556023530504,121,0.9077787598919441,121,0.8968492212485739,121,1.0,120,0.0,58,,0,0.0,121,0.0,-0.023556124976888526,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B1_LOCAL_HARD,605,121,0,0.9412242142037206,121,0.9077787598919441,121,0.9204053462254624,121,1.0,120,0.6345137333930437,58,1.0,58,0.1070409756409218,121,0.023556124976888526,0.0,0.0007306848158984995,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,0.9685547874515171,121,0.9332581672909575,121,0.9465994712184265,121,0.994398866880964,120,0.8133650544857441,58,0.9226266431157867,63,0.1515435840321485,121,0.049750249969852556,0.02619412499296403,0.001352309007659507,121
rnafold,POSITIVE_PAIR_EVIDENCE,0,B0_ORIGINAL,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,,0,0.0,0.0,,0
rnafold,POSITIVE_PAIR_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,,0,0.0,0.0,,0
rnafold,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,,0,0.0,0.0,,0
rnafold,POSITIVE_PAIR_EVIDENCE,1,B0_ORIGINAL,605,121,0,0.9069374161618192,121,0.9138670306547281,121,0.9058176119079561,121,1.0,120,0.0,51,,0,0.0,121,0.0,-0.005830736721896934,0.0,121
rnafold,POSITIVE_PAIR_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,0.9110310552261679,121,0.9207140014316606,121,0.911648348629853,121,1.0,120,0.022912535593071222,51,1.0,24,0.04793388429752066,121,0.005830736721896934,0.0,0.0011661473443793685,121
rnafold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,0.9201193107832284,121,0.9278662542680499,121,0.9198106299727674,121,0.9792871651295564,120,0.10286816748796664,51,0.7934161062530625,24,0.343801652892562,121,0.013993018064811347,0.008162281342914413,0.0027986036129622484,121
