source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_removed_fp,sum_evidence_item_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,micro_delta_f1_vs_b0,macro_delta_f1_vs_b0,micro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,1238,3714,0.3333333333333333,0.358266375044774,0.07588185013486182,0.07640179707466233,2.043130052096441e-05,0.003789348002827973,113
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,201,605,0.3322314049586777,0.3322314049586777,0.009326800170159633,0.012505230395818412,1.5416198628363028e-05,0.002501046079163677,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,2009,605,3.3206611570247935,3.3206611570247935,0.06492375690999186,0.07568736986973768,0.00010731199489254853,0.01513747397394753,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B1_LOCAL_HARD,605,121,0,215,670,0.3208955223880597,0.32573002754820934,0.009984350333836711,0.01213439323543608,1.4902015423636883e-05,0.002373187601996276,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,2013,670,3.0044776119402985,2.8442975206611574,0.06533172998648806,0.07593403202315696,9.751004475595233e-05,0.015169953047426266,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B1_LOCAL_HARD,605,121,0,293,925,0.31675675675675674,0.32,0.013667046554282192,0.014895836777167881,1.4775185464088857e-05,0.002440626469314982,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,2035,925,2.2,2.164738292011019,0.07644167071265362,0.0819736689713011,8.263964401367959e-05,0.013678375639909632,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B1_LOCAL_HARD,605,121,0,517,1665,0.3105105105105105,0.31415977961432506,0.02442731694671485,0.025802579613871335,1.4671061229258169e-05,0.002485734820767207,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,2061,1665,1.2378378378378379,1.185513577331759,0.08488541346367984,0.08431999271952662,5.098223030851642e-05,0.007297424907862445,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B1_LOCAL_HARD,605,121,0,1128,4365,0.2584192439862543,0.2628616897460624,0.055243911495995945,0.05870996477783841,1.2656108017410297e-05,0.0021030026202718457,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,2109,4365,0.4831615120274914,0.4490180672681527,0.11183713006517004,0.10372810700513158,2.5621335639214214e-05,0.00328805526803357,121
