source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7305,2160,1075,6895,410,1995,165,470,935,7060,2405,1405,2465,1345,3810,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,0.9438740588637919,0.9499250254853704,116,0.9236111111111112,0.9122450280469149,106,0.6469816272965879,0.7586128643627736,110,,,0
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7464,990,916,7305,2160,1075,6964,341,1995,165,500,825,7129,2336,1325,2495,1166,3661,605,0.8828956706884316,0.9201193107832284,121,0.890692124105012,0.9278662542680499,121,0.8867767613163835,0.9198106299727674,121,0.9533196440793976,0.9631961754720375,116,0.9236111111111112,0.9122488526262111,106,0.6815077847582628,0.770398180425363,110,3.2975206611570247,3.2975206611570247,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,5,B2_GLOBAL_REFOLD,603,121,0,7567,887,793,7285,2160,1075,7000,285,1994,166,567,721,7166,2279,1288,2561,1006,3567,648,0.8950792524248876,0.9270915357733726,121,0.9051435406698565,0.933676038689374,121,0.9000832639467111,0.9260494117362392,121,0.9608785175017158,0.9682538805383633,116,0.9231481481481482,0.9116670916199218,106,0.7179702831511073,0.7737455802933434,110,3.0771604938271606,2.9377410468319556,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,10,B2_GLOBAL_REFOLD,595,121,0,7576,741,611,7250,2014,937,7039,211,1835,179,537,562,7218,2046,1099,2372,773,3145,879,0.9109053745340868,0.9295059180648642,121,0.9253694882130207,0.9396936381018245,121,0.9180804653417354,0.9307761211834313,121,0.9708965517241379,0.9743792417671728,116,0.9111221449851042,0.9070406255311915,106,0.7542130365659777,0.7774954824541956,110,2.087599544937429,2.192920110192837,121
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,20,B2_GLOBAL_REFOLD,570,118,3,7204,470,298,7046,1647,456,6891,155,1485,162,313,308,7053,1640,621,1798,463,2261,1514,0.9387542350794892,0.9428924707714758,118,0.960277259397494,0.954210203688136,118,0.9493937796520823,0.9448497930311658,118,0.9780017030939541,0.9803177592388119,114,0.9016393442622951,0.9081229773462782,103,0.7952233524988943,0.789812375106767,107,0.9808454425363277,1.133598698852936,118
trrosettarna2_native_ss,POSITIVE_PAIR_EVIDENCE,50,B2_GLOBAL_REFOLD,545,113,8,7003,333,78,6855,1372,226,6803,52,1238,134,200,199,6937,1290,399,1438,251,1689,3714,0.954607415485278,0.956383244125066,113,0.9889846066939698,0.985979407296024,113,0.9714919886245404,0.9692075663494077,113,0.9924142961342086,0.9917054197850659,113,0.902332361516035,0.9114795918367348,98,0.8513913558318532,0.8230581273162947,102,0.3333333333333333,0.358266375044774,113
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7305,2160,1075,6895,410,1995,165,470,935,7060,2405,1405,2465,1345,3810,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,0.9438740588637919,0.9499250254853704,116,0.9236111111111112,0.9122450280469149,106,0.6469816272965879,0.7586128643627736,110,,,0
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7408,979,972,7305,2160,1075,6932,373,2009,151,476,828,7083,2382,1304,2485,1201,3686,605,0.8832717300584237,0.9238364411583446,121,0.8840095465393795,0.9222045957087484,121,0.8836404842846066,0.9185587340830326,121,0.9489390828199863,0.9570494719201615,116,0.9300925925925926,0.9212740098589155,106,0.6741725447639718,0.7772908279809624,112,3.3206611570247935,3.3206611570247935,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,7407,970,973,7305,2160,1075,6922,383,2013,147,485,823,7069,2396,1308,2498,1206,3704,670,0.8842067565954399,0.9240578978741076,121,0.883890214797136,0.9217023122828926,121,0.8840484573611028,0.9188053962364519,121,0.9475701574264203,0.9564371265776813,116,0.9319444444444445,0.9225318714941357,106,0.6744060475161987,0.7744337035731911,111,3.0044776119402985,2.8442975206611574,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,7488,862,892,7305,2160,1075,6975,330,2035,125,513,737,7100,2365,1250,2548,1067,3615,925,0.8967664670658683,0.9304317153672138,121,0.8935560859188544,0.9275756721510047,121,0.8951583980872684,0.924845033184596,121,0.9548254620123203,0.9629917767417768,116,0.9421296296296297,0.9307827638959715,106,0.7048409405255879,0.7813852781665211,112,2.2,2.164738292011019,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,7513,736,867,7305,2160,1075,6985,320,2061,99,528,637,7084,2381,1165,2589,957,3546,1665,0.9107770638865317,0.9355892875296238,121,0.8965393794749403,0.9265178397858981,121,0.9036021408382946,0.9271913569328215,121,0.9561943874058864,0.9621241694198965,116,0.9541666666666667,0.9475709671936087,106,0.7301184433164128,0.7862458617590242,112,1.2378378378378379,1.185513577331759,121
trrosettarna2_native_ss,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,7611,367,769,7305,2160,1075,7031,274,2109,51,580,316,7082,2383,896,2689,590,3279,4365,0.953998495863625,0.9685547874515171,121,0.9082338902147972,0.9332581672909575,121,0.9305538574397848,0.9465994712184265,121,0.9624914442162902,0.9692484319639492,116,0.9763888888888889,0.9740999490056094,106,0.8200670936261055,0.851353862639713,111,0.4831615120274914,0.4490180672681527,121
