source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,micro_recall,micro_f1,micro_tp_preservation,micro_fp_removal,micro_modification_precision,micro_fp_removed_per_evidence_item,micro_delta_f1_vs_b0,micro_delta_f1_vs_b1,micro_delta_f1_per_evidence_item
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,,0.0,0.0,
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,605,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,0.0,0.0,-0.003806008360200064,0.0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,7365,1027,1015,7365,1100,1015,7365,0,73,1027,0,0,8392,73,0,73,0,73,605,0.8776215443279314,0.8788782816229117,0.8782494633913666,1.0,0.06636363636363636,1.0,0.1206611570247934,0.003806008360200064,0.0,6.290922909421593e-06
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7408,979,972,7365,1100,1015,7358,7,174,926,50,53,8284,181,103,224,60,284,605,0.8832717300584237,0.8840095465393795,0.8836404842846066,0.9990495587236932,0.15818181818181817,0.7887323943661971,0.28760330578512394,0.009197029253440125,0.005391020893240062,1.520170124535558e-05
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,670,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,0.0,0.0,-0.004329961028969542,0.0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B1_LOCAL_HARD,605,121,0,7365,1017,1015,7365,1100,1015,7365,0,83,1017,0,0,8382,83,0,83,0,83,670,0.8786685755189693,0.8788782816229117,0.878773416060136,1.0,0.07545454545454545,1.0,0.12388059701492538,0.004329961028969542,0.0,6.462628401447078e-06
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,7407,970,973,7365,1100,1015,7333,32,261,839,74,131,8172,293,205,335,163,498,670,0.8842067565954399,0.883890214797136,0.8840484573611028,0.9956551255940258,0.23727272727272727,0.6726907630522089,0.3895522388059702,0.00960500232993633,0.005275041300966787,1.4335824373039298e-05
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,925,0.8700531600708801,0.8788782816229117,0.8744434550311665,1.0,0.0,,0.0,0.0,-0.006906392392994287,0.0
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B1_LOCAL_HARD,605,121,0,7365,968,1015,7365,1100,1015,7365,0,132,968,0,0,8333,132,0,132,0,132,925,0.8838353534141365,0.8788782816229117,0.8813498474241608,1.0,0.12,1.0,0.14270270270270272,0.006906392392994287,0.0,7.466370154588419e-06
rnafold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,7488,862,892,7365,1100,1015,7343,22,396,704,145,158,8047,418,303,541,180,721,925,0.8967664670658683,0.8935560859188544,0.8951583980872684,0.9970128988458927,0.36,0.7503467406380028,0.4281081081081081,0.020714943056101887,0.0138085506631076,2.239453303362366e-05
