source_model,channel,density_percent,method,eligible_realization_count,eligible_rna_count,missing_rna_count,sum_tp,sum_fp,sum_fn,sum_original_tp,sum_original_fp,sum_original_fn,sum_preserved_tp,sum_lost_tp,sum_removed_fp,sum_preserved_original_fp,sum_new_tp,sum_new_fp,sum_unchanged_pairs,sum_deleted_pairs,sum_added_pairs,sum_beneficial_changes,sum_harmful_changes,sum_modified_pair_count,sum_evidence_item_count,micro_precision,macro_precision,macro_precision_defined_rna_count,micro_recall,macro_recall,macro_recall_defined_rna_count,micro_f1,macro_f1,macro_f1_defined_rna_count,micro_tp_preservation,macro_tp_preservation,macro_tp_preservation_defined_rna_count,micro_fp_removal,macro_fp_removal,macro_fp_removal_defined_rna_count,micro_modification_precision,macro_modification_precision,macro_modification_precision_defined_rna_count,micro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item,macro_fp_removed_per_evidence_item_defined_rna_count,macro_delta_f1_vs_b0,micro_delta_f1_vs_b0,macro_delta_f1_vs_b1,micro_delta_f1_vs_b1,micro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item,macro_delta_f1_per_evidence_item_defined_rna_count
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7315,1205,1065,7300,15,180,1025,65,75,8325,195,140,245,90,335,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,0.9979494190020506,0.9988624338624338,120,0.14937759336099585,0.23807657859381998,58,0.7313432835820896,0.8197916666666667,32,,,0,0.008968390659382153,0.008762981658385405,0.008968390659382153,0.008762981658385405,,,0
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,605,0.8585680751173709,0.8952556023530504,121,0.8729116945107399,0.9077787598919441,121,0.8656804733727811,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.004571019353787453,-0.004479521868996139,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,7315,1118,1065,7315,1205,1065,7315,0,87,1118,0,0,8433,87,0,87,0,87,605,0.8674255899442666,0.9038573136093356,121,0.8729116945107399,0.9077787598919441,121,0.8701599952417772,0.9014202406023614,121,1.0,1.0,120,0.07219917012448132,0.14607702642185402,58,1.0,1.0,47,0.14380165289256197,0.143801652892562,121,0.004571019353787453,0.004479521868996139,0.0,0.0,7.404168378506015e-06,0.0009142038707575186,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7408,979,972,7315,1205,1065,7294,21,344,861,114,118,8155,365,232,458,139,597,605,0.8832717300584237,0.9238364411583446,121,0.8840095465393795,0.9222045957087484,121,0.8836404842846066,0.9185587340830326,121,0.9971291866028709,0.9978660413660414,120,0.2854771784232365,0.4036180773249739,58,0.7671691792294807,0.8864509403345441,59,0.5685950413223141,0.568595041322314,121,0.021709512834458655,0.01796001091182553,0.017138493480671202,0.013480489042829391,2.9685968449298397e-05,0.004341902566891746,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,670,0.8585680751173709,0.8952556023530504,121,0.8729116945107399,0.9077787598919441,121,0.8656804733727811,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.0054788559183109875,-0.005463982980678517,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B1_LOCAL_HARD,605,121,0,7315,1099,1065,7315,1205,1065,7315,0,106,1099,0,0,8414,106,0,106,0,106,670,0.8693843594009983,0.9051646445061988,121,0.8729116945107399,0.9077787598919441,121,0.8711444563534596,0.9023280771668849,121,1.0,1.0,120,0.08796680497925312,0.15779855202268997,58,1.0,1.0,45,0.1582089552238806,0.1505785123966942,121,0.0054788559183109875,0.005463982980678517,0.0,0.0,8.155198478624651e-06,0.0010636309094054202,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,B2_GLOBAL_REFOLD,605,121,0,7407,970,973,7315,1205,1065,7272,43,418,787,135,183,8059,461,318,553,226,779,670,0.8842067565954399,0.9240578978741076,121,0.883890214797136,0.9217023122828926,121,0.8840484573611028,0.9188053962364519,121,0.9941216678058783,0.9963073624718362,120,0.34688796680497924,0.40622443648305717,58,0.7098844672657253,0.8458854557982666,54,0.6238805970149254,0.5298071625344353,121,0.02195617498787794,0.018367983988321734,0.016477319069566954,0.012904001007643218,2.7414901475107065e-05,0.004390114875162578,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,925,0.8585680751173709,0.8952556023530504,121,0.8729116945107399,0.9077787598919441,121,0.8656804733727811,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.005589776372337707,-0.007335399643091933,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B1_LOCAL_HARD,605,121,0,7315,1063,1065,7315,1205,1065,7315,0,142,1063,0,0,8378,142,0,142,0,142,925,0.8731200763905467,0.9054397680359245,121,0.8729116945107399,0.9077787598919441,121,0.873015873015873,0.9024389976209116,121,1.0,1.0,120,0.11784232365145228,0.15625242573518436,58,1.0,1.0,49,0.1535135135135135,0.12107438016528926,121,0.005589776372337707,0.007335399643091933,0.0,0.0,7.930161776315604e-06,0.0008161600787775163,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,10,B2_GLOBAL_REFOLD,605,121,0,7488,862,892,7315,1205,1065,7282,33,536,669,206,193,7951,569,399,742,226,968,925,0.8967664670658683,0.9304317153672138,121,0.8935560859188544,0.9275756721510047,121,0.8951583980872684,0.924845033184596,121,0.9954887218045113,0.9972614708158186,120,0.44481327800829873,0.4497369010300045,58,0.7665289256198347,0.8814549341037146,58,0.5794594594594594,0.4252892561983471,121,0.027995811936022075,0.02947792471448729,0.022406035563684368,0.022142525071395358,3.1868026718364636e-05,0.003812849149420578,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,1665,0.8585680751173709,0.8952556023530504,121,0.8729116945107399,0.9077787598919441,121,0.8656804733727811,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.009392233335737354,-0.013684796808140942,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B1_LOCAL_HARD,605,121,0,7315,942,1065,7315,1205,1065,7315,0,263,942,0,0,8257,263,0,263,0,263,1665,0.8859149812280489,0.9126048041917569,121,0.8729116945107399,0.9077787598919441,121,0.879365270180922,0.9062414545843113,121,1.0,1.0,120,0.21825726141078838,0.2733161665920287,58,1.0,1.0,54,0.15795795795795795,0.12155712973894793,121,0.009392233335737354,0.013684796808140942,0.0,0.0,8.219097182066633e-06,0.0007872851972399773,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,20,B2_GLOBAL_REFOLD,605,121,0,7513,736,867,7315,1205,1065,7243,72,691,514,270,222,7757,763,492,961,294,1255,1665,0.9107770638865317,0.9355892875296238,121,0.8965393794749403,0.9265178397858981,121,0.9036021408382946,0.9271913569328215,121,0.9901572112098428,0.9938180011354564,120,0.5734439834024896,0.5403452007762353,58,0.7657370517928287,0.8752402874903413,60,0.41501501501501503,0.27197756788665883,121,0.030342135684247595,0.03792166746551351,0.02094990234851024,0.024236870657372567,2.2775776255563668e-05,0.0021585318379207124,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B0_ORIGINAL,605,121,0,7315,1205,1065,7315,1205,1065,7315,0,0,1205,0,0,8520,0,0,0,0,0,4365,0.8585680751173709,0.8952556023530504,121,0.8729116945107399,0.9077787598919441,121,0.8656804733727811,0.8968492212485739,121,1.0,1.0,120,0.0,0.0,58,,,0,0.0,0.0,121,0.0,0.0,-0.023556124976888526,-0.03230626858646268,0.0,0.0,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B1_LOCAL_HARD,605,121,0,7315,597,1065,7315,1205,1065,7315,0,608,597,0,0,7912,608,0,608,0,608,4365,0.9245449949443882,0.9412242142037206,121,0.8729116945107399,0.9077787598919441,121,0.8979867419592438,0.9204053462254624,121,1.0,1.0,120,0.5045643153526971,0.6345137333930437,58,1.0,1.0,58,0.13928980526918672,0.1070409756409218,121,0.023556124976888526,0.03230626858646268,0.0,0.0,7.401207007207946e-06,0.0007306848158984995,121
petfold,UNPAIRED_NUCLEOTIDE_EVIDENCE,50,B2_GLOBAL_REFOLD,605,121,0,7611,367,769,7315,1205,1065,7254,61,985,220,357,147,7474,1046,504,1342,208,1550,4365,0.953998495863625,0.9685547874515171,121,0.9082338902147972,0.9332581672909575,121,0.9305538574397848,0.9465994712184265,121,0.991660970608339,0.994398866880964,120,0.8174273858921162,0.8133650544857441,58,0.8658064516129033,0.9226266431157867,63,0.2256586483390607,0.1515435840321485,121,0.049750249969852556,0.06487338406700371,0.02619412499296403,0.03256711548054103,1.4862172753036361e-05,0.001352309007659507,121
rnafold,POSITIVE_PAIR_EVIDENCE,0,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,,,0,0.0,0.0,0.0,0.0,,,0
rnafold,POSITIVE_PAIR_EVIDENCE,0,B1_LOCAL_HARD,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,,,0,0.0,0.0,0.0,0.0,,,0
rnafold,POSITIVE_PAIR_EVIDENCE,0,B2_GLOBAL_REFOLD,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,0,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,,,0,0.0,0.0,0.0,0.0,,,0
rnafold,POSITIVE_PAIR_EVIDENCE,1,B0_ORIGINAL,605,121,0,7365,1100,1015,7365,1100,1015,7365,0,0,1100,0,0,8465,0,0,0,0,0,605,0.8700531600708801,0.9069374161618192,121,0.8788782816229117,0.9138670306547281,121,0.8744434550311665,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,0.0,0.0,121,0.0,0.0,-0.005830736721896934,-0.00444147972565434,0.0,0.0,121
rnafold,POSITIVE_PAIR_EVIDENCE,1,B1_LOCAL_HARD,605,121,0,7409,1071,971,7365,1100,1015,7365,0,29,1071,44,0,8436,29,44,73,0,73,605,0.8737028301886792,0.9110310552261679,121,0.8841288782816229,0.9207140014316606,121,0.8788849347568208,0.911648348629853,121,1.0,1.0,120,0.026363636363636363,0.022912535593071222,51,1.0,1.0,24,0.047933884297520664,0.04793388429752066,121,0.005830736721896934,0.00444147972565434,0.0,0.0,7.341288802734447e-06,0.0011661473443793685,121
rnafold,POSITIVE_PAIR_EVIDENCE,1,B2_GLOBAL_REFOLD,605,121,0,7464,990,916,7365,1100,1015,7277,88,208,892,187,98,8169,296,285,395,186,581,605,0.8828956706884316,0.9201193107832284,121,0.890692124105012,0.9278662542680499,121,0.8867767613163835,0.9198106299727674,121,0.9880515953835709,0.9792871651295564,120,0.1890909090909091,0.10286816748796664,51,0.6798623063683304,0.7934161062530625,24,0.343801652892562,0.343801652892562,121,0.013993018064811347,0.012333306285217005,0.008162281342914413,0.007891826559562665,2.0385630223499183e-05,0.0027986036129622484,121
rnafold,POSITIVE_PAIR_EVIDENCE,5,B0_ORIGINAL,603,121,0,7347,1100,1013,7347,1100,1013,7347,0,0,1100,0,0,8447,0,0,0,0,0,648,0.86977625192376,0.9069374161618192,121,0.8788277511961723,0.9138670306547281,121,0.8742785744035223,0.9058176119079561,121,1.0,1.0,120,0.0,0.0,51,,,0,0.0,0.0,121,0.0,0.0,-0.006991473358980094,-0.00684363196832749,0.0,0.0,121
