variant,source_model,metric,n_runs,mean,std_population,median,fold_mean_min,fold_mean_max,n_folds_with_deployable_runs
POOLED_SOURCE_AWARE,trrosettarna2_native_ss,delete_recall,16,0.7353940899922758,0.059987352615816274,0.7482510959798526,0.6493055555555556,0.7952941176470588,4
POOLED_SOURCE_AWARE,trrosettarna2_native_ss,correct_pair_preservation,16,0.9906783150064489,0.005656256546722655,0.9911320209847427,0.9855072463768116,0.9965635738831615,4
POOLED_SOURCE_AWARE,trrosettarna2_native_ss,macro_delta_f1,16,0.05806175155048181,0.007240013885278083,0.05571047960297468,0.05072958742205911,0.06678582797898476,4
POOLED_SOURCE_AWARE,trrosettarna2_native_ss,micro_delta_f1,16,0.07424602213718012,0.01151697875786474,0.0683755247279959,0.06385099893862442,0.09118876058521463,4
POOLED_SOURCE_AWARE,trrosettarna2_native_ss,modified_rna_count,16,20.3125,1.2103072956898178,20.0,19.0,22.0,4
POOLED_SOURCE_AGNOSTIC,rnafold,modification_precision,19,0.32908714092924624,0.3109001031716853,0.21428571428571427,0.0,0.7083333333333334,4
POOLED_SOURCE_AGNOSTIC,rnafold,delete_recall,20,0.03649898555913593,0.03326682215291617,0.027046783625730993,0.0,0.06938775510204082,4
POOLED_SOURCE_AGNOSTIC,rnafold,correct_pair_preservation,20,0.985884190658026,0.012360744266118488,0.9921925370728562,0.968284789644013,0.997872340425532,4
POOLED_SOURCE_AGNOSTIC,rnafold,macro_delta_f1,20,-0.0025742603633161385,0.002442087084278142,-0.002420084574172629,-0.006012935473746432,-0.00010318333578761183,4
POOLED_SOURCE_AGNOSTIC,rnafold,micro_delta_f1,20,-0.004575845906651171,0.005411116005777874,-0.0029044346255457376,-0.013280175236451664,0.00010010569364882205,4
POOLED_SOURCE_AGNOSTIC,rnafold,modified_rna_count,20,2.85,1.7109938632268673,2.5,1.0,4.6,4
POOLED_SOURCE_AGNOSTIC,petfold,modification_precision,20,0.586295948203843,0.2656420074380541,0.47744360902255634,0.3244444444444444,1.0,4
POOLED_SOURCE_AGNOSTIC,petfold,delete_recall,20,0.12034205808150497,0.03146842898758367,0.1118872839213829,0.09268292682926829,0.15789473684210525,4
POOLED_SOURCE_AGNOSTIC,petfold,correct_pair_preservation,20,0.9828237449777033,0.012040105603800833,0.9823943661971831,0.9681818181818181,1.0,4
POOLED_SOURCE_AGNOSTIC,petfold,macro_delta_f1,20,-0.00043214273383898144,0.002752341738539751,-0.0014428606385470605,-0.0026521883177011013,0.0035743041177823836,4
POOLED_SOURCE_AGNOSTIC,petfold,micro_delta_f1,20,-0.0018496340336040472,0.005749718625507311,-0.002484740452654899,-0.00961480198261917,0.005465808585264442,4
POOLED_SOURCE_AGNOSTIC,petfold,modified_rna_count,20,4.75,1.7284386017443605,4.5,2.8,6.6,4
POOLED_SOURCE_AGNOSTIC,trrosettarna2_native_ss,modification_precision,20,0.9449328380623895,0.027635588242023928,0.948935245545415,0.9074183860938383,0.9786190769863297,4
POOLED_SOURCE_AGNOSTIC,trrosettarna2_native_ss,delete_recall,20,0.7366151841142513,0.06673022114902398,0.7577651338494543,0.6277777777777778,0.8,4
POOLED_SOURCE_AGNOSTIC,trrosettarna2_native_ss,correct_pair_preservation,20,0.9864606652641544,0.006597576961083988,0.9844840448572941,0.9814492753623189,0.9965635738831615,4
POOLED_SOURCE_AGNOSTIC,trrosettarna2_native_ss,macro_delta_f1,20,0.05836131700723065,0.0058235278257575945,0.05759340805621625,0.05116049311767068,0.06532562205754197,4
POOLED_SOURCE_AGNOSTIC,trrosettarna2_native_ss,micro_delta_f1,20,0.07449732146856683,0.012251481699428102,0.07398920619948884,0.061518503730646025,0.08790758778253419,4
POOLED_SOURCE_AGNOSTIC,trrosettarna2_native_ss,modified_rna_count,20,20.25,0.8874119674649424,20.0,19.4,21.4,4
