variant,mode,source_model,metric,n_runs,mean,std_population,median,fold_mean_min,fold_mean_max,n_folds_with_deployable_runs
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,rnafold,modification_precision,15,0.31444444444444447,0.3524972638016561,0.25,0.0,0.7333333333333333,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,rnafold,delete_recall,15,0.021637426900584796,0.024926507574088486,0.02631578947368421,0.0,0.03333333333333333,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,rnafold,correct_pair_preservation,15,0.9939804801595099,0.006377577090726188,0.9965156794425087,0.9896440129449839,0.997872340425532,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,rnafold,macro_delta_f1,15,-0.0010942711820636035,0.0012915302032116438,-0.0008768746976294169,-0.0017466839007719542,-0.00014669043232152048,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,rnafold,micro_delta_f1,15,-0.0018885736013574128,0.0026911456033193253,-0.0016082088573851072,-0.0035598879091715665,0.0006805279838843159,3
LOMO_HOLDOUT_RNAFOLD,LEARNED_SELECTIVE,rnafold,modified_rna_count,15,1.8,0.9797958971132712,1.0,1.6,2.0,3
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,pooled,modification_precision,25,0.5263365134922418,0.11528987920381097,0.5060240963855421,0.3770963901430914,0.7072351262646237,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,pooled,delete_recall,25,0.6329277559762553,0.11686099330531653,0.6527777777777778,0.5094339622641509,0.7577464788732394,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,pooled,correct_pair_preservation,25,0.837406740662075,0.04724602829376569,0.8292682926829268,0.7855072463768116,0.9125475285171103,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,pooled,macro_delta_f1,25,-0.017763561541628184,0.02986998028961047,-0.011601920960691507,-0.05828835115884162,0.019219639402026166,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,pooled,micro_delta_f1,25,-0.021158352162414466,0.03177053705678144,-0.027983497525160383,-0.05290930976241572,0.02930203985269799,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,pooled,modified_rna_count,25,22.6,0.938083151964686,23.0,21.4,23.4,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,trrosettarna2_native_ss,modification_precision,25,0.5263365134922418,0.11528987920381097,0.5060240963855421,0.3770963901430914,0.7072351262646237,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,trrosettarna2_native_ss,delete_recall,25,0.6329277559762553,0.11686099330531653,0.6527777777777778,0.5094339622641509,0.7577464788732394,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,trrosettarna2_native_ss,correct_pair_preservation,25,0.837406740662075,0.04724602829376569,0.8292682926829268,0.7855072463768116,0.9125475285171103,5
LOMO_HOLDOUT_TRROSETTARNA2,LEARNED_UNGATED,trrosettarna2_native_ss,macro_delta_f1,25,-0.017763561541628184,0.02986998028961047,-0.011601920960691507,-0.05828835115884162,0.019219639402026166,5
