variant,fold,seed,mode,source_model,threshold,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,beneficial_edit_count,harmful_edit_count
LOMO_HOLDOUT_PETFOLD,3,29,LEARNED_SELECTIVE,pooled,0.95,-0.001726262391775174,-0.002484740452654899,0.42857142857142855,0.15789473684210525,0.9859154929577465,7,3,3,4
LOMO_HOLDOUT_PETFOLD,3,29,LEARNED_SELECTIVE,petfold,0.95,-0.001726262391775174,-0.002484740452654899,0.42857142857142855,0.15789473684210525,0.9859154929577465,7,3,3,4
LOMO_HOLDOUT_PETFOLD,3,41,LEARNED_UNGATED,pooled,0.5,-0.030325721551275997,-0.029305261269745198,0.2413793103448276,0.3684210526315789,0.9225352112676056,29,15,7,22
LOMO_HOLDOUT_PETFOLD,3,41,LEARNED_UNGATED,petfold,0.5,-0.030325721551275997,-0.029305261269745198,0.2413793103448276,0.3684210526315789,0.9225352112676056,29,15,7,22
LOMO_HOLDOUT_PETFOLD,3,41,LEARNED_SELECTIVE,pooled,0.9,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,3,5
LOMO_HOLDOUT_PETFOLD,3,41,LEARNED_SELECTIVE,petfold,0.9,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,3,5
LOMO_HOLDOUT_PETFOLD,3,53,LEARNED_UNGATED,pooled,0.5,-0.026443983464866053,-0.026211287727942567,0.2903225806451613,0.47368421052631576,0.9225352112676056,31,15,9,22
LOMO_HOLDOUT_PETFOLD,3,53,LEARNED_UNGATED,petfold,0.5,-0.026443983464866053,-0.026211287727942567,0.2903225806451613,0.47368421052631576,0.9225352112676056,31,15,9,22
LOMO_HOLDOUT_PETFOLD,3,67,LEARNED_UNGATED,pooled,0.5,-0.025751581998350592,-0.028104575163398704,0.28125,0.47368421052631576,0.9190140845070423,32,13,9,23
LOMO_HOLDOUT_PETFOLD,3,67,LEARNED_UNGATED,petfold,0.5,-0.025751581998350592,-0.028104575163398704,0.28125,0.47368421052631576,0.9190140845070423,32,13,9,23
LOMO_HOLDOUT_PETFOLD,3,67,LEARNED_SELECTIVE,pooled,0.9,-0.001726262391775174,-0.002484740452654899,0.42857142857142855,0.15789473684210525,0.9859154929577465,7,3,3,4
LOMO_HOLDOUT_PETFOLD,3,67,LEARNED_SELECTIVE,petfold,0.9,-0.001726262391775174,-0.002484740452654899,0.42857142857142855,0.15789473684210525,0.9859154929577465,7,3,3,4
LOMO_HOLDOUT_PETFOLD,4,17,LEARNED_UNGATED,pooled,0.5,-0.018139883556029326,-0.017285741844156655,0.425,0.4146341463414634,0.9181494661921709,40,13,17,23
LOMO_HOLDOUT_PETFOLD,4,17,LEARNED_UNGATED,petfold,0.5,-0.018139883556029326,-0.017285741844156655,0.425,0.4146341463414634,0.9181494661921709,40,13,17,23
LOMO_HOLDOUT_PETFOLD,4,17,LEARNED_SELECTIVE,pooled,0.95,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,4,0
LOMO_HOLDOUT_PETFOLD,4,17,LEARNED_SELECTIVE,petfold,0.95,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,4,0
LOMO_HOLDOUT_PETFOLD,4,29,LEARNED_UNGATED,pooled,0.5,-0.01994637904721731,-0.014685083205440708,0.45454545454545453,0.4878048780487805,0.9145907473309609,44,15,20,24
LOMO_HOLDOUT_PETFOLD,4,29,LEARNED_UNGATED,petfold,0.5,-0.01994637904721731,-0.014685083205440708,0.45454545454545453,0.4878048780487805,0.9145907473309609,44,15,20,24
LOMO_HOLDOUT_PETFOLD,4,29,LEARNED_SELECTIVE,pooled,0.95,0.003160225442834142,0.004309287204024015,1.0,0.07317073170731707,1.0,3,2,3,0
