manifest_id,manifest_payload_sha256,rna_id,channel,density_percent,evidence_seed,item_count,sequence_length,crossing_status,minimum_loop_status,crossing_flag,minimum_loop_flag,minimum_pair_separation,validity_status,eligibility_status,reason
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_103__noise_00,6360592eb45d14587a949abbbe9ffcefe6aac4d71b336ae649656cad01ea6d49,17RA_21_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,50,103,4,21,PASS,PASS,False,False,5,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_107__noise_00,8055b1b9d72608f59cd25e5b084908b14c9b4ecfc45ddc9b93bb53d9c4a6d263,17RA_21_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,50,107,4,21,PASS,PASS,False,False,7,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_109__noise_00,688329eb363ec72ffda9ffa1d292664c593b508801211bcec66a319be5e1a0ff,17RA_21_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,50,109,4,21,PASS,PASS,False,False,14,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
simulated_evidence_v1__17RA_21_hp_nmr_A__positive_pair_evidence__density_50__seed_113__noise_00,f179c58a66ac6822a38e1862d84437c292ba20bb7b7bf89403af331d3eb08d3a,17RA_21_hp_nmr_A,POSITIVE_PAIR_EVIDENCE,50,113,4,21,PASS,PASS,False,False,7,PASS,R2_ELIGIBLE,all delivered exact pairs are noncrossing and satisfy j-i>3
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_101__noise_00,ed7220138a26b226162dce879e801ac9880f8c1e6ca7df17ff6f423b6fbd439a,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,101,0,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_103__noise_00,59a437d09c681200f93c705f68e7791dfab9270892ca4822e3dc8bc8dcf4412f,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,103,0,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_107__noise_00,8fb56797876327e1877bae0d4ae708c4929bba6fcd594358fdf8083df5b80dd7,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,107,0,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_109__noise_00,f6e22b9e22d2fd5c6a9cb3c850ef13e723551d93d46dcf29e12c27397f892ed3,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,109,0,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_00__seed_113__noise_00,eb497653d039a07847c911b93d5045cdbab9eb742b14ff56fc7e5f40fc12db21,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,113,0,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_101__noise_00,06d5b5bb9b4adf7cc172a237df15c73e1756ce91b33e4a6cf0d0314a584c5678,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,101,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_103__noise_00,89b034bd0cd7fe03a8813986ed7299d145dbf8c2d4355f1c0813f8a19dd14215,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,103,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_107__noise_00,c73de81aa07add4d311857110eca421be8dc3efc379d49449abe1ada2be760dd,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,107,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_109__noise_00,b3c7142d84924eee6bfe85370430cfa5d9e5863b6587a09fd113212511fcd205,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,109,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_01__seed_113__noise_00,d789a7e1232b3c087123a7b414260ab218aa5630846dfcfb3f26fbd76112505d,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,113,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_101__noise_00,1b03a018b15029104258a4d699447d45fafb8a0e5b47627e1f18a459c64ed0a4,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,101,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_103__noise_00,88fc16de66d3dfdc4468adb5646b6d319016580ce67dd56413849254ce12ef85,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,103,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
simulated_evidence_v1__17RA_21_hp_nmr_A__unpaired_nucleotide_evidence__density_05__seed_107__noise_00,ebdbdacc3366e6dd462335b7c9a71707ec6b18f58d633f9dd70620a6b87584b0,17RA_21_hp_nmr_A,UNPAIRED_NUCLEOTIDE_EVIDENCE,5,107,1,21,NOT_APPLICABLE,NOT_APPLICABLE,False,False,,PASS,R2_ELIGIBLE,unpaired channel has no v1.0.2 capability blocker
