condition,scope,source_model,fold,seed,deployable,macro_delta_f1,micro_delta_f1,modification_precision,delete_recall,correct_pair_preservation,modified_pair_count,modified_rna_count,eligible_rna_count,beneficial_edit_count,harmful_edit_count,original_tp_count,original_fp_count,original_fn_count,tp_after_count,fp_after_count,fn_after_count
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,67,True,-0.002608245419007708,4.933459958800235e-05,0.6190476190476191,0.1262135922330097,0.9770114942528736,21,8,24,13,8,348,103,112,340,90,120
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,67,True,0.06553534420652005,0.09216824805235901,0.9512195121951219,0.7748344370860927,0.9826086956521739,123,20,24,117,6,345,151,115,339,34,121
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,3,17,True,-0.0008768746976294169,-0.0017386171554291119,0.0,0.0,0.9965156794425087,1,1,24,0,1,287,15,22,286,15,23
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,3,17,True,-0.001726262391775174,-0.002484740452654899,0.42857142857142855,0.15789473684210525,0.9859154929577465,7,3,24,3,4,284,19,25,280,16,29
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,3,17,True,0.05270723033107457,0.08676318564578889,0.9577464788732394,0.8,0.9885931558935361,71,20,24,68,3,263,85,46,260,17,49
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,3,29,True,-0.002420084574172629,-0.0034829440552111013,0.0,0.0,0.9930313588850174,2,2,24,0,2,287,15,22,285,15,24
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,3,29,True,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,24,3,5,284,19,25,279,16,30
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,3,29,True,0.049497353787864684,0.08295281582952818,0.9315068493150684,0.8,0.9809885931558935,73,20,24,68,5,263,85,46,258,17,51
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,3,41,True,-0.0008768746976294169,-0.0017386171554291119,0.0,0.0,0.9965156794425087,1,1,24,0,1,287,15,22,286,15,23
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,3,41,True,-0.001726262391775174,-0.002484740452654899,0.42857142857142855,0.15789473684210525,0.9859154929577465,7,3,24,3,4,284,19,25,280,16,29
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,3,41,True,0.0510405636644079,0.0848612574639972,0.9444444444444444,0.8,0.9847908745247148,72,20,24,68,4,263,85,46,259,17,50
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,3,53,True,-0.002420084574172629,-0.0034829440552111013,0.0,0.0,0.9930313588850174,2,2,24,0,2,287,15,22,285,15,24
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,3,53,True,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,24,3,5,284,19,25,279,16,30
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,3,53,True,0.05183421445805869,0.08637747336377477,0.9452054794520548,0.8117647058823529,0.9847908745247148,73,20,24,69,4,263,85,46,259,16,50
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,3,67,True,-0.002420084574172629,-0.0034829440552111013,0.0,0.0,0.9930313588850174,2,2,24,0,2,287,15,22,285,15,24
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,3,67,True,-0.003269472268318386,-0.004263515560749664,0.375,0.15789473684210525,0.9823943661971831,8,4,24,3,5,284,19,25,279,16,30
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,3,67,True,0.05072310334694758,0.08525147863786409,0.9571428571428572,0.788235294117647,0.9885931558935361,70,20,24,67,3,263,85,46,260,18,49
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,4,17,True,0.00047274387063119444,0.0014461538461538748,1.0,0.02631578947368421,1.0,1,1,24,1,0,282,38,23,282,37,23
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,4,17,True,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,41,24,281,37,24
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,4,17,True,0.06426734785077091,0.06121839921443284,0.9782608695652174,0.625,0.9965635738831615,46,22,24,45,1,291,72,14,290,27,15
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,4,29,True,0.0,0.0,,0.0,1.0,0,0,24,0,0,282,38,23,282,38,23
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,4,29,True,0.003160225442834142,0.004309287204024015,1.0,0.07317073170731707,1.0,3,2,24,3,0,281,41,24,281,38,24
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,4,29,True,0.06693595437077121,0.06271997068664603,0.9787234042553191,0.6388888888888888,0.9965635738831615,47,21,24,46,1,291,72,14,290,26,15
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,4,41,True,0.00047274387063119444,0.0014461538461538748,1.0,0.02631578947368421,1.0,1,1,24,1,0,282,38,23,282,37,23
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,4,41,True,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,41,24,281,37,24
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,4,41,True,0.062318030111979485,0.059721648196384036,0.9777777777777777,0.6111111111111112,0.9965635738831615,45,22,24,44,1,291,72,14,290,28,15
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,4,53,True,-0.0012299229387189674,-0.0020784565916398545,0.3333333333333333,0.02631578947368421,0.9929078014184397,3,2,24,1,2,282,38,23,280,37,25
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,4,53,True,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,41,24,281,37,24
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,4,53,True,0.06736877520198988,0.061000579486188866,0.9583333333333334,0.6388888888888888,0.993127147766323,48,21,24,46,2,291,72,14,289,26,16
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,4,67,True,-0.00023148148148148065,-0.0003133226324237848,0.5,0.02631578947368421,0.9964539007092199,2,1,24,1,1,282,38,23,281,37,24
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,petfold,4,67,True,0.0036778237865194435,0.005754938930574549,1.0,0.0975609756097561,1.0,4,3,24,4,0,281,41,24,281,37,24
V2A_BASE_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,4,67,True,0.06573800275219836,0.06293192106957834,1.0,0.625,1.0,45,21,24,45,0,291,72,14,291,27,14
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,0,17,True,0.0002956989247311803,0.0010957751294110585,0.6666666666666666,0.05555555555555555,0.9967637540453075,3,1,25,2,1,309,36,23,308,34,24
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,0,17,True,0.004810862013876389,0.005058217217026151,0.8333333333333334,0.11904761904761904,0.9967532467532467,6,4,25,5,1,308,42,24,307,37,25
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,0,17,True,0.05965745839599899,0.06995033976953313,1.0,0.7464788732394366,1.0,53,20,25,53,0,316,71,16,316,18,16
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,0,29,True,0.0021055904879434275,0.003316852262977732,0.6666666666666666,0.16666666666666666,0.9902912621359223,9,5,25,6,3,309,36,23,306,30,26
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,0,29,True,0.007031009987345045,0.008582863204590452,0.7692307692307693,0.23809523809523808,0.9902597402597403,13,8,25,10,3,308,42,24,305,32,27
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,0,29,True,0.0659265636648115,0.0741027523939578,0.9827586206896551,0.8028169014084507,0.9968354430379747,58,21,25,57,1,316,71,16,315,14,17
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,0,41,True,0.0010380143858845648,0.00444242067502576,0.6666666666666666,0.2222222222222222,0.9870550161812298,12,7,25,8,4,309,36,23,305,28,27
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,0,41,True,0.005149489209272544,0.006953834266949954,0.7142857142857143,0.23809523809523808,0.987012987012987,14,8,25,10,4,308,42,24,304,32,28
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,0,41,True,0.06635289324372191,0.07568417027677754,1.0,0.8028169014084507,1.0,57,21,25,57,0,316,71,16,316,14,16
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,0,53,True,-0.0021940476697069043,6.210050523192123e-05,0.5454545454545454,0.16666666666666666,0.9838187702265372,11,6,25,6,5,309,36,23,304,30,28
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,0,53,True,0.0023276835639374836,0.003959822290902082,0.6428571428571429,0.21428571428571427,0.9837662337662337,14,8,25,9,5,308,42,24,303,33,29
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,0,53,True,0.06585281574680495,0.07280861973624675,1.0,0.7746478873239436,1.0,55,20,25,55,0,316,71,16,316,16,16
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,0,67,False,0.0,0.0,,0.0,1.0,0,0,25,0,0,309,36,23,309,36,23
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,0,67,False,0.0,0.0,,0.0,1.0,0,0,25,0,0,308,42,24,308,42,24
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,0,67,False,0.0,0.0,,0.0,1.0,0,0,25,0,0,316,71,16,316,71,16
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,1,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,33,27,243,33,27
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,1,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,36,28,242,36,28
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,1,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,53,24,246,53,24
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,1,29,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,33,27,243,33,27
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,1,29,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,36,28,242,36,28
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,1,29,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,53,24,246,53,24
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,1,41,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,33,27,243,33,27
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,1,41,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,36,28,242,36,28
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,1,41,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,53,24,246,53,24
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,1,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,33,27,243,33,27
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,1,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,36,28,242,36,28
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,1,53,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,53,24,246,53,24
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,1,67,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,243,33,27,243,33,27
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,1,67,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,242,36,28,242,36,28
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,1,67,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,246,53,24,246,53,24
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,352,98,108,352,98,108
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,petfold,2,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,348,103,112,348,103,112
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,trrosettarna2_native_ss,2,17,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,345,151,115,345,151,115
V2A_CROSS_SOURCE_AGNOSTIC_GLOBAL,source,rnafold,2,29,False,0.0,0.0,,0.0,1.0,0,0,24,0,0,352,98,108,352,98,108
