condition,scope,modification_precision,delete_recall,correct_pair_preservation,macro_delta_f1,micro_delta_f1,beneficial_edit_count,harmful_edit_count,modified_pair_count,modified_rna_count,eligible_rna_count,source_model
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,source,0.5054945054945055,0.038174273858921165,0.9938482570061518,0.00014327321739835122,-0.0004251915948132856,46,45,91,52,605,petfold
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,source,0.9654605263157895,0.27175925925925926,0.9971252566735113,0.026382863920963753,0.030280671587132116,587,21,608,234,605,trrosettarna2_native_ss
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,pooled,0.9093264248704663,0.07861142217245241,0.998408005458267,0.004050016671256119,0.005737534726250253,351,35,386,147,1815,
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,source,0.6153846153846154,0.02181818181818182,0.9979633401221996,0.00014048379747749867,0.0003384508423846722,24,15,39,19,605,rnafold
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,source,0.7323943661971831,0.043153526970954356,0.9974025974025974,0.001108803335289178,0.0016767935652448873,52,19,71,34,605,petfold
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,source,0.9963768115942029,0.12731481481481483,0.9998631074606434,0.01090076288100168,0.014526287341530822,275,1,276,94,605,trrosettarna2_native_ss
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,pooled,0.8443271767810027,0.1433370660694289,0.994632704116443,0.0076359749919450845,0.009277298203806756,640,118,758,293,1815,
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,source,0.13513513513513514,0.004545454545454545,0.9956551255940258,-0.0011457707770293876,-0.001865526527042154,5,32,37,24,605,rnafold
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,source,0.47115384615384615,0.04066390041493776,0.9924812030075187,6.045069535666917e-05,-0.0009180988773433762,49,55,104,52,605,petfold
V2B_BASE_SOURCE_AWARE_SOURCE_CONDITIONAL,source,0.9497568881685575,0.2712962962962963,0.9957563312799452,0.023993245057507974,0.029447771294601507,586,31,617,217,605,trrosettarna2_native_ss
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,pooled,0.8992628992628993,0.08197088465845465,0.9981350921082557,0.0034519858995555996,0.004871919355048906,366,41,407,124,1815,
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,source,0.7941176470588235,0.024545454545454544,0.9990495587236932,0.00037908881931777804,0.0008416485091957337,27,7,34,18,605,rnafold
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,source,0.7916666666666666,0.03153526970954357,0.9986329460013671,0.0008227536964306464,0.0011918573830611478,38,10,48,24,605,petfold
V2B_CROSS_SOURCE_AWARE_SOURCE_CONDITIONAL,source,0.9261538461538461,0.13935185185185187,0.9967145790554415,0.009154115182918374,0.012224299255392092,301,24,325,82,605,trrosettarna2_native_ss
