condition,fold,seed,delete_precision,delete_recall,delete_f1,tp,fp,fn
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,3,67,0.5426829268292683,0.7478991596638656,0.6289752650176679,89,75,30
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,17,0.5157894736842106,0.6490066225165563,0.5747800586510264,98,92,53
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,29,0.5051546391752577,0.6490066225165563,0.5681159420289855,98,96,53
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,41,0.5125628140703518,0.6754966887417219,0.5828571428571429,102,97,49
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,53,0.4880382775119617,0.6754966887417219,0.5666666666666667,102,107,49
V2B_BASE_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,4,67,0.5153061224489796,0.6688741721854304,0.5821325648414986,101,95,50
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,17,0.6310160427807486,0.7919463087248322,0.7023809523809523,118,69,31
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,29,0.6304347826086957,0.7785234899328859,0.6966966966966966,116,68,33
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,41,0.6236559139784946,0.7785234899328859,0.6925373134328359,116,70,33
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,53,0.6408839779005525,0.7785234899328859,0.703030303030303,116,65,33
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,0,67,0.6113989637305699,0.7919463087248322,0.6900584795321637,118,75,31
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,17,0.6358024691358025,0.8442622950819673,0.7253521126760564,103,59,19
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,29,0.6521739130434783,0.860655737704918,0.7420494699646644,105,56,17
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,41,0.6407185628742516,0.8770491803278688,0.740484429065744,107,60,15
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,53,0.65625,0.860655737704918,0.7446808510638298,105,55,17
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,1,67,0.6392405063291139,0.8278688524590164,0.7214285714285714,101,57,21
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,17,0.7541766109785203,0.8977272727272727,0.8197146562905318,316,103,36
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,29,0.7242888402625821,0.9403409090909091,0.8182941903584673,331,126,21
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,41,0.7397260273972602,0.9204545454545454,0.8202531645569621,324,114,28
V2B_CROSS_SOURCE_AGNOSTIC_SOURCE_CONDITIONAL,2,53,0.7553956834532374,0.8948863636363636,0.8192457737321196,315,102,37
