track,baseline,summary_level,historical_seed,scope,source,operating_semantics,high_preservation_eligible,achieved_event_context_count,achieved_event_pair_event_count,achieved_event_tp_before,achieved_event_fp_before,achieved_event_fn_before,achieved_event_lost_tp,achieved_event_removed_fp,achieved_event_deleted_pair_count,achieved_event_tp_preservation,achieved_event_fp_removal,achieved_event_modification_precision,achieved_event_coverage,achieved_event_delete_precision,achieved_event_delete_recall,achieved_event_resulting_precision,achieved_event_resulting_recall,achieved_event_resulting_f1,achieved_event_original_precision,achieved_event_original_recall,achieved_event_original_f1,achieved_event_delta_f1,achieved_rna_balanced_rna_count,achieved_rna_balanced_tp_preservation,achieved_rna_balanced_tp_preservation_defined_rnas,achieved_rna_balanced_fp_removal,achieved_rna_balanced_fp_removal_defined_rnas,achieved_rna_balanced_modification_precision,achieved_rna_balanced_modification_precision_defined_rnas,achieved_rna_balanced_coverage,achieved_rna_balanced_coverage_defined_rnas,achieved_rna_balanced_delete_precision,achieved_rna_balanced_delete_precision_defined_rnas,achieved_rna_balanced_delete_recall,achieved_rna_balanced_delete_recall_defined_rnas,achieved_rna_balanced_resulting_precision,achieved_rna_balanced_resulting_precision_defined_rnas,achieved_rna_balanced_resulting_recall,achieved_rna_balanced_resulting_recall_defined_rnas,achieved_rna_balanced_resulting_f1,achieved_rna_balanced_resulting_f1_defined_rnas,achieved_rna_balanced_original_precision,achieved_rna_balanced_original_precision_defined_rnas,achieved_rna_balanced_original_recall,achieved_rna_balanced_original_recall_defined_rnas,achieved_rna_balanced_original_f1,achieved_rna_balanced_original_f1_defined_rnas,achieved_rna_balanced_delta_f1,achieved_rna_balanced_delta_f1_defined_rnas,achieved_rna_balanced_deleted_pair_count,achieved_rna_balanced_lost_tp,achieved_rna_balanced_removed_fp,rna_balanced_auprc,channel
P,R3-P3,SEED,67,POOLED,ALL,IMMUTABLE_V3_VETO2_FIXED,1,363,5290,4397,893,631,16,317,333,0.9963611553331817,0.35498320268757,0.9519519519519519,0.06294896030245746,0.9519519519519519,0.35498320268757,0.8838006858987291,0.8713206046141607,0.8775162744116174,0.8311909262759924,0.874502784407319,0.8522969567745687,0.025219317637048655,121,0.9980696606114678,121,0.4939038419781119,109,0.9824286779929363,80,0.05607461796147262,121,0.9824286779929363,80,0.4939038419781119,109,0.898249606183471,121,0.909770475982823,121,0.8995531893432713,121,0.8521946259518088,121,0.9112435670539332,121,0.8786352964320927,121,0.020917892911178137,121,333,16,317,,
P,R3-P3,SEED,67,SOURCE,rnafold,IMMUTABLE_V3_VETO2_FIXED,1,121,1693,1473,220,203,6,10,16,0.9959266802443992,0.045454545454545456,0.625,0.009450679267572357,0.625,0.045454545454545456,0.8747763864042933,0.8752983293556086,0.8750372800477185,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0005938250165520298,121,0.9982043326262086,120,0.02048436357379447,51,0.5416666666666667,8,0.003138288570317841,121,0.5416666666666667,8,0.02048436357379447,51,0.9078238734187839,121,0.912368562536167,121,0.9130927993370739,120,0.9069374161618189,121,0.913867030654728,121,0.9133660920071889,120,-0.0002732926701149723,120,16,6,10,,
P,R3-P3,SEED,67,SOURCE,petfold,IMMUTABLE_V3_VETO2_FIXED,1,121,1704,1463,241,213,5,26,31,0.9965823650034177,0.1078838174273859,0.8387096774193549,0.018192488262910797,0.8387096774193549,0.1078838174273859,0.8714883442916915,0.869928400954654,0.8707076739325171,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.005027200559736045,121,0.9985556865545074,120,0.11306165099268548,58,0.8348214285714286,16,0.008887078496931246,121,0.8348214285714286,16,0.11306165099268548,58,0.9014853733840366,121,0.9066396162433796,121,0.9070286530769887,120,0.8952556023530502,121,0.9077787598919441,121,0.904322964758978,120,0.0027056883180106533,120,31,5,26,,
P,R3-P3,SEED,67,SOURCE,trrosettarna2_native_ss,IMMUTABLE_V3_VETO2_FIXED,1,121,1893,1461,432,215,5,281,286,0.9965776865160849,0.6504629629629629,0.9825174825174825,0.15108293713681986,0.9825174825174825,0.6504629629629629,0.9060360920970753,0.8687350835322196,0.8869936034115138,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.06827687603689903,121,0.9974221222721972,116,0.6299730457055649,106,0.9932277265745008,80,0.12978185369339262,121,0.9932277265745008,80,0.6299730457055649,106,0.8843285485953154,121,0.9103032491689231,121,0.9307362751434778,116,0.7905636556834099,121,0.9120849106151279,121,0.8792020264638676,116,0.05153424867960989,116,286,5,281,,
P,R3-P3,BASELINE,MEAN_ACROSS_5_SEEDS,POOLED,ALL,IMMUTABLE_V3_VETO2_FIXED,1,363.0,5290.0,4397.0,893.0,631.0,14.2,310.6,324.8,0.9967705253581987,0.34781634938409856,0.9563460150045516,0.06139886578449906,0.9563460150045516,0.34781634938409856,0.882705628781744,0.8716785998408909,0.877156860855516,0.8311909262759924,0.874502784407319,0.8522969567745686,0.02485990408094716,121.0,0.9975876735391118,121.0,0.48974798277666015,109.0,0.9655040482537279,81.0,0.05592982848031279,121.0,0.9655040482537279,81.0,0.48974798277666015,109.0,0.897875186668441,121.0,0.9095243560513835,121.0,0.8993866158885954,121.0,0.8521946259518088,121.0,0.9112435670539332,121.0,0.8786352964320926,121.0,0.020751319456502375,121.0,324.8,14.2,310.6,0.5841134952160195,
P,R3-P3,BASELINE,MEAN_ACROSS_5_SEEDS,SOURCE,rnafold,IMMUTABLE_V3_VETO2_FIXED,1,121.0,1693.0,1473.0,220.0,203.0,4.4,8.4,12.8,0.9970128988458928,0.038181818181818185,0.6354761904761904,0.0075605434140578855,0.6354761904761904,0.038181818181818185,0.8740667656421074,0.8762529832935562,0.8751570728349934,0.87005316007088,0.8788782816229117,0.8744434550311665,0.0007136178038269936,121.0,0.9986164517205601,120.0,0.013109372516354823,51.0,0.5822619047619048,6.0,0.0023004389883083945,121.0,0.5822619047619048,6.0,0.013109372516354823,51.0,0.9075411523813717,121.0,0.9128862011402971,121.0,0.9131921402746617,120.0,0.9069374161618189,121.0,0.913867030654728,121.0,0.913366092007189,120.0,-0.00017395173252724607,120.0,12.8,4.4,8.4,,
P,R3-P3,BASELINE,MEAN_ACROSS_5_SEEDS,SOURCE,petfold,IMMUTABLE_V3_VETO2_FIXED,1,121.0,1704.0,1463.0,241.0,213.0,3.6,22.4,26.0,0.9975393028024607,0.09294605809128631,0.8607371045659965,0.015258215962441313,0.8607371045659965,0.09294605809128631,0.8697293191410956,0.8707637231503581,0.8702452251986781,0.8585680751173708,0.87291169451074,0.865680473372781,0.0045647518258969955,121.0,0.9988095295237637,120.0,0.09932004776832364,58.0,0.87748778998779,13.6,0.007488248471693959,121.0,0.87748778998779,13.6,0.09932004776832364,58.0,0.9007546964118175,121.0,0.9069633552278514,121.0,0.9068345693875545,120.0,0.8952556023530501,121.0,0.9077787598919441,121.0,0.9043229647589779,120.0,0.0025116046285763452,120.0,26.0,3.6,22.4,,
P,R3-P3,BASELINE,MEAN_ACROSS_5_SEEDS,SOURCE,trrosettarna2_native_ss,IMMUTABLE_V3_VETO2_FIXED,1,121.0,1893.0,1461.0,432.0,215.0,6.2,279.8,286.0,0.9957563312799452,0.6476851851851851,0.9783401885406295,0.15108293713681986,0.9783401885406295,0.6476851851851851,0.9052902802703434,0.8680190930787589,0.8862626295251059,0.7717908082408875,0.8717183770883054,0.8187167273746148,0.06754590215049121,121.0,0.996188595262808,116.0,0.6301289288331462,106.0,0.973718240134583,81.0,0.131507605640373,121.0,0.973718240134583,81.0,0.6301289288331462,106.0,0.885229110083996,121.0,0.9087235117860025,121.0,0.9305763568354181,116.0,0.7905636556834099,121.0,0.912084910615128,121.0,0.8792020264638676,116.0,0.05137433037155027,116.0,286.0,6.2,279.8,,
E,R3-E1,BASELINE,,POOLED,ALL,FIXED_BINARY_POINT,1,21459,310838,260623,50215,33887,0,5978,5978,1.0,0.11904809319924325,1.0,0.019231882845726713,1.0,0.11904809319924325,0.8548940497277439,0.8849376931173815,0.8696564726295944,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.008588128470532141,121,1.0,121,0.14294579906374277,109,1.0,109,0.01862267637680123,121,1.0,109,0.14294579906374277,109,0.8660637547550715,121,0.911243567053933,121,0.8861215267993837,121,0.8521946259518095,121,0.911243567053933,121,0.8786352964320931,121,0.0074862303672906865,121,5978,0,5978,0.28635044510262436,
E,R3-E1,BASELINE,,SOURCE,rnafold,FIXED_BINARY_POINT,1,7153,99424,87167,12257,11003,0,1476,1476,1.0,0.1204209839275516,1.0,0.014845510138397168,1.0,0.1204209839275516,0.8899313921672725,0.8879189161658347,0.8889240151337461,0.8767199066623753,0.8879189161658347,0.8822838750164478,0.006640140117298299,121,1.0,120,0.13999207848290623,51,1.0,51,0.012462098461081898,121,1.0,51,0.13999207848290623,51,0.9149200871691263,121,0.9138670306547277,121,0.9176738552970608,120,0.906937416161819,121,0.9138670306547277,121,0.9133660920071893,120,0.004307763289871749,120,1476,0,1476,,
