condition,evidence_channel,density_percent,evidence_seed,source_model,rna_count,actual_evidence_item_count,sum_tp,sum_fp,sum_fn,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_precision,macro_delta_recall,macro_delta_f1,micro_delta_precision,micro_delta_recall,micro_delta_f1,beneficial_edits,harmful_edits,modified_pair_count,modification_precision,correct_pair_preservation,modified_rna_count,modified_rna_fraction,evidence_compliant_before_count,evidence_compliant_after_count,evidence_compliance_before,evidence_compliance_after,direct_recovery_count,directly_inserted_pair_count,local_conflicting_pairs_before,local_conflicting_pairs_removed,local_conflict_correction_rate,non_evidenced_changed_pair_count
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,trrosettarna2_native_ss,121,121,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,113,113,0.9338842975206612,0.9338842975206612,0,0,16,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,petfold,121,121,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,110,110,0.9090909090909091,0.9090909090909091,0,0,7,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,rnafold,121,121,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,111,111,0.9173553719008265,0.9173553719008265,0,0,6,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,trrosettarna2_native_ss,121,121,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,109,109,0.9008264462809917,0.9008264462809917,0,0,20,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,101,petfold,121,130,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,116,116,0.8923076923076924,0.8923076923076924,0,0,10,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,101,rnafold,121,130,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,116,116,0.8923076923076924,0.8923076923076924,0,0,11,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,101,trrosettarna2_native_ss,121,130,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,114,114,0.8769230769230769,0.8769230769230769,0,0,20,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,103,petfold,121,130,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,120,120,0.9230769230769231,0.9230769230769231,0,0,8,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,103,rnafold,121,130,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,120,120,0.9230769230769231,0.9230769230769231,0,0,6,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,103,trrosettarna2_native_ss,121,130,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,117,117,0.9,0.9,0,0,15,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,107,petfold,121,130,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,119,119,0.9153846153846154,0.9153846153846154,0,0,10,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,107,rnafold,121,130,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,119,119,0.9153846153846154,0.9153846153846154,0,0,9,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,107,trrosettarna2_native_ss,121,130,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,119,119,0.9153846153846154,0.9153846153846154,0,0,16,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,109,petfold,121,130,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,117,117,0.9,0.9,0,0,8,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,109,rnafold,121,130,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,118,118,0.9076923076923077,0.9076923076923077,0,0,8,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,109,trrosettarna2_native_ss,121,130,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,120,120,0.9230769230769231,0.9230769230769231,0,0,14,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,113,petfold,121,130,1463,241,213,0.8952556023530504,0.9077787598919441,0.8968492212485739,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,111,111,0.8538461538461538,0.8538461538461538,0,0,16,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,113,rnafold,121,130,1473,220,203,0.9069374161618192,0.9138670306547281,0.9058176119079561,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,110,110,0.8461538461538461,0.8461538461538461,0,0,14,0,0.0,0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,5,113,trrosettarna2_native_ss,121,130,1461,432,215,0.7905636556834104,0.9120849106151278,0.8428713642132949,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,1.0,0,0.0,117,117,0.9,0.9,0,0,18,0,0.0,0
