condition,evidence_channel,density_percent,source_model,actual_evidence_item_count_mean,actual_evidence_item_count_std,actual_evidence_item_count_min,actual_evidence_item_count_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,micro_precision_mean,micro_precision_std,micro_precision_min,micro_precision_max,micro_recall_mean,micro_recall_std,micro_recall_min,micro_recall_max,micro_f1_mean,micro_f1_std,micro_f1_min,micro_f1_max,macro_delta_precision_mean,macro_delta_precision_std,macro_delta_precision_min,macro_delta_precision_max,macro_delta_recall_mean,macro_delta_recall_std,macro_delta_recall_min,macro_delta_recall_max,macro_delta_f1_mean,macro_delta_f1_std,macro_delta_f1_min,macro_delta_f1_max,micro_delta_precision_mean,micro_delta_precision_std,micro_delta_precision_min,micro_delta_precision_max,micro_delta_recall_mean,micro_delta_recall_std,micro_delta_recall_min,micro_delta_recall_max,micro_delta_f1_mean,micro_delta_f1_std,micro_delta_f1_min,micro_delta_f1_max,beneficial_edits_mean,beneficial_edits_std,beneficial_edits_min,beneficial_edits_max,harmful_edits_mean,harmful_edits_std,harmful_edits_min,harmful_edits_max,modified_pair_count_mean,modified_pair_count_std,modified_pair_count_min,modified_pair_count_max,modification_precision_mean,modification_precision_std,modification_precision_min,modification_precision_max,correct_pair_preservation_mean,correct_pair_preservation_std,correct_pair_preservation_min,correct_pair_preservation_max,modified_rna_fraction_mean,modified_rna_fraction_std,modified_rna_fraction_min,modified_rna_fraction_max,evidence_compliance_before_mean,evidence_compliance_before_std,evidence_compliance_before_min,evidence_compliance_before_max,evidence_compliance_after_mean,evidence_compliance_after_std,evidence_compliance_after_min,evidence_compliance_after_max,direct_recovery_count_mean,direct_recovery_count_std,direct_recovery_count_min,direct_recovery_count_max,directly_inserted_pair_count_mean,directly_inserted_pair_count_std,directly_inserted_pair_count_min,directly_inserted_pair_count_max,local_conflicting_pairs_before_mean,local_conflicting_pairs_before_std,local_conflicting_pairs_before_min,local_conflicting_pairs_before_max,local_conflicting_pairs_removed_mean,local_conflicting_pairs_removed_std,local_conflicting_pairs_removed_min,local_conflicting_pairs_removed_max,local_conflict_correction_rate_mean,local_conflict_correction_rate_std,local_conflict_correction_rate_min,local_conflict_correction_rate_max,non_evidenced_changed_pair_count_mean,non_evidenced_changed_pair_count_std,non_evidenced_changed_pair_count_min,non_evidenced_changed_pair_count_max
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,rnafold,180.0,0.0,180.0,180.0,0.9069374161618192,0.0,0.9069374161618192,0.9069374161618192,0.9138670306547281,0.0,0.9138670306547281,0.9138670306547281,0.905817611907956,0.0,0.9058176119079561,0.9058176119079561,0.87005316007088,0.0,0.8700531600708801,0.8700531600708801,0.8788782816229117,0.0,0.8788782816229117,0.8788782816229117,0.8744434550311665,0.0,0.8744434550311665,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.89,0.02030629653610786,0.8555555555555555,0.9166666666666666,0.89,0.02030629653610786,0.8555555555555555,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,2.039607805437114,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,10,trrosettarna2_native_ss,180.0,0.0,180.0,180.0,0.7905636556834104,0.0,0.7905636556834104,0.7905636556834104,0.9120849106151278,0.0,0.9120849106151278,0.9120849106151278,0.842871364213295,0.0,0.8428713642132949,0.8428713642132949,0.7717908082408875,0.0,0.7717908082408875,0.7717908082408875,0.8717183770883054,0.0,0.8717183770883055,0.8717183770883055,0.8187167273746148,0.0,0.8187167273746148,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8800000000000001,0.011967032904743352,0.8666666666666667,0.8944444444444445,0.8800000000000001,0.011967032904743352,0.8666666666666667,0.8944444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.8,29.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,petfold,338.0,0.0,338.0,338.0,0.8952556023530504,0.0,0.8952556023530504,0.8952556023530504,0.9077787598919441,0.0,0.9077787598919441,0.9077787598919441,0.8968492212485739,0.0,0.8968492212485739,0.8968492212485739,0.8585680751173708,0.0,0.8585680751173709,0.8585680751173709,0.87291169451074,0.0,0.8729116945107399,0.8729116945107399,0.865680473372781,0.0,0.8656804733727811,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8686390532544379,0.006641995361137173,0.8579881656804734,0.8757396449704142,0.8686390532544379,0.006641995361137173,0.8579881656804734,0.8757396449704142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,6.11228271597445,31.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,rnafold,338.0,0.0,338.0,338.0,0.9069374161618192,0.0,0.9069374161618192,0.9069374161618192,0.9138670306547281,0.0,0.9138670306547281,0.9138670306547281,0.905817611907956,0.0,0.9058176119079561,0.9058176119079561,0.87005316007088,0.0,0.8700531600708801,0.8700531600708801,0.8788782816229117,0.0,0.8788782816229117,0.8788782816229117,0.8744434550311665,0.0,0.8744434550311665,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8739644970414201,0.005158460288213808,0.8668639053254438,0.8816568047337278,0.8739644970414201,0.005158460288213808,0.8668639053254438,0.8816568047337278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,5.979966555090421,33.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,20,trrosettarna2_native_ss,338.0,0.0,338.0,338.0,0.7905636556834104,0.0,0.7905636556834104,0.7905636556834104,0.9120849106151278,0.0,0.9120849106151278,0.9120849106151278,0.842871364213295,0.0,0.8428713642132949,0.8428713642132949,0.7717908082408875,0.0,0.7717908082408875,0.7717908082408875,0.8717183770883054,0.0,0.8717183770883055,0.8717183770883055,0.8187167273746148,0.0,0.8187167273746148,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8751479289940829,0.007805269797794613,0.8668639053254438,0.8846153846153846,0.8751479289940829,0.007805269797794613,0.8668639053254438,0.8846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.8,5.1536394906900505,45.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,petfold,875.0,0.0,875.0,875.0,0.8952556023530504,0.0,0.8952556023530504,0.8952556023530504,0.9077787598919441,0.0,0.9077787598919441,0.9077787598919441,0.8968492212485739,0.0,0.8968492212485739,0.8968492212485739,0.8585680751173708,0.0,0.8585680751173709,0.8585680751173709,0.87291169451074,0.0,0.8729116945107399,0.8729116945107399,0.865680473372781,0.0,0.8656804733727811,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8713142857142857,0.003727887184068579,0.8674285714285714,0.8777142857142857,0.8713142857142857,0.003727887184068579,0.8674285714285714,0.8777142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.2,7.626270385975047,74.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,rnafold,875.0,0.0,875.0,875.0,0.9069374161618192,0.0,0.9069374161618192,0.9069374161618192,0.9138670306547281,0.0,0.9138670306547281,0.9138670306547281,0.905817611907956,0.0,0.9058176119079561,0.9058176119079561,0.87005316007088,0.0,0.8700531600708801,0.8700531600708801,0.8788782816229117,0.0,0.8788782816229117,0.8788782816229117,0.8744434550311665,0.0,0.8744434550311665,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8768,0.005663776774109173,0.8708571428571429,0.8857142857142857,0.8768,0.005663776774109173,0.8708571428571429,0.8857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,8.414273587185052,72.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,trrosettarna2_native_ss,875.0,0.0,875.0,875.0,0.7905636556834104,0.0,0.7905636556834104,0.7905636556834104,0.9120849106151278,0.0,0.9120849106151278,0.9120849106151278,0.842871364213295,0.0,0.8428713642132949,0.8428713642132949,0.7717908082408875,0.0,0.7717908082408875,0.7717908082408875,0.8717183770883054,0.0,0.8717183770883055,0.8717183770883055,0.8187167273746148,0.0,0.8187167273746148,0.8187167273746148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8715428571428572,0.005437886744397854,0.8628571428571429,0.8765714285714286,0.8715428571428572,0.005437886744397854,0.8628571428571429,0.8765714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.2,2.7856776554368237,120.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,petfold,0.0,0.0,0.0,0.0,0.8952556023530504,0.0,0.8952556023530504,0.8952556023530504,0.9077787598919441,0.0,0.9077787598919441,0.9077787598919441,0.8968492212485739,0.0,0.8968492212485739,0.8968492212485739,0.8585680751173708,0.0,0.8585680751173709,0.8585680751173709,0.87291169451074,0.0,0.8729116945107399,0.8729116945107399,0.865680473372781,0.0,0.8656804733727811,0.8656804733727811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,rnafold,0.0,0.0,0.0,0.0,0.9069374161618192,0.0,0.9069374161618192,0.9069374161618192,0.9138670306547281,0.0,0.9138670306547281,0.9138670306547281,0.905817611907956,0.0,0.9058176119079561,0.9058176119079561,0.87005316007088,0.0,0.8700531600708801,0.8700531600708801,0.8788782816229117,0.0,0.8788782816229117,0.8788782816229117,0.8744434550311665,0.0,0.8744434550311665,0.8744434550311665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
