condition,evidence_channel,density_percent,evidence_seed,source_model,scope,rna_count,scope_domain,scope_universe_pair_count,direct_evidence_item_count,direct_compliant_before_count,direct_compliant_after_count,sum_tp,sum_fp,sum_fn,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,beneficial_edits,harmful_edits,modified_pair_count,correct_pair_preservation
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,113,113,113,0,8,0.9338842975206612,0.9338842975206612,0.9338842975206612,1.0,0.9338842975206612,0.9658119658119658,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,trrosettarna2_native_ss,LOCAL_CONFLICT_EFFECT,121,pair,16,0,0,0,0,16,0,0.9338842975206612,0.9338842975206612,0.9338842975206612,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,109,trrosettarna2_native_ss,NON_EVIDENCED_EFFECT,121,pair,1971,0,0,0,1348,416,207,0.7778040998959983,0.9099486932521822,0.8337729182071006,0.764172335600907,0.8668810289389067,0.8122928592949684,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,petfold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,110,110,110,0,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,0.9090909090909091,0.9523809523809523,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,petfold,LOCAL_CONFLICT_EFFECT,121,pair,7,0,0,0,0,7,0,0.9586776859504132,0.9586776859504132,0.9586776859504132,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,petfold,NON_EVIDENCED_EFFECT,121,pair,1789,0,0,0,1353,234,202,0.8921977651647299,0.9090664385590811,0.895708435032767,0.8525519848771267,0.8700964630225081,0.8612348822406111,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,rnafold,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,111,111,111,0,10,0.9173553719008265,0.9173553719008265,0.9173553719008265,1.0,0.9173553719008265,0.9568965517241379,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,rnafold,LOCAL_CONFLICT_EFFECT,121,pair,6,0,0,0,0,6,0,0.9669421487603306,0.9669421487603306,0.9669421487603306,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,rnafold,NON_EVIDENCED_EFFECT,121,pair,1769,0,0,0,1362,214,193,0.9042564349791656,0.9152149364583081,0.9049027958173762,0.8642131979695431,0.8758842443729904,0.8700095816033216,0.0,0.0,0,0,0,1.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,1,113,trrosettarna2_native_ss,DIRECT_EVIDENCE_EFFECT,121,pair,121,121,109,109,109,0,12,0.9008264462809917,0.9008264462809917,0.9008264462809917,1.0,0.9008264462809917,0.9478260869565217,0.0,0.0,0,0,0,1.0
