condition,evidence_channel,density_percent,evidence_seed,source_model,actual_evidence_item_count,evidence_compliant_before_count,evidence_compliant_after_count,evidence_compliance_before,evidence_compliance_after,direct_recovery_count,directly_inserted_pair_count,local_conflicting_pairs_before,local_conflicting_pairs_removed,local_conflict_correction_rate
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,103,trrosettarna2_native_ss,875,755,755,0.8628571428571429,0.8628571428571429,0,0,126,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,107,petfold,875,764,764,0.8731428571428571,0.8731428571428571,0,0,74,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,107,rnafold,875,770,770,0.88,0.88,0,0,72,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,107,trrosettarna2_native_ss,875,759,759,0.8674285714285714,0.8674285714285714,0,0,127,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,109,petfold,875,768,768,0.8777142857142857,0.8777142857142857,0,0,82,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,109,rnafold,875,775,775,0.8857142857142857,0.8857142857142857,0,0,79,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,109,trrosettarna2_native_ss,875,766,766,0.8754285714285714,0.8754285714285714,0,0,122,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,113,petfold,875,761,761,0.8697142857142857,0.8697142857142857,0,0,87,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,113,rnafold,875,767,767,0.8765714285714286,0.8765714285714286,0,0,82,0,0.0
ORIGINAL,POSITIVE_PAIR_EVIDENCE,50,113,trrosettarna2_native_ss,875,767,767,0.8765714285714286,0.8765714285714286,0,0,120,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,101,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,101,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,101,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,103,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,103,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,103,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,107,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,107,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,107,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,109,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,109,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,109,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,113,petfold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,113,rnafold,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,0,113,trrosettarna2_native_ss,0,0,0,,,0,0,0,0,
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,101,petfold,121,104,104,0.859504132231405,0.859504132231405,0,0,17,0,0.0
ORIGINAL,UNPAIRED_NUCLEOTIDE_EVIDENCE,1,101,rnafold,121,105,105,0.8677685950413223,0.8677685950413223,0,0,16,0,0.0
