density_percent,evidence_seed,source_model,rna_count,actual_evidence_item_count,directly_inserted_pair_count,full_macro_delta_f1,local_only_macro_delta_f1,direct_insertion_macro_f1_contribution,direct_fraction_of_macro_f1_gain,full_micro_delta_f1,local_only_micro_delta_f1,direct_insertion_micro_f1_contribution,direct_fraction_of_micro_f1_gain
5,109,trrosettarna2_native_ss,121,130,10,0.004483188716501552,0.00025283710094203826,0.004230351615559513,0.9436032884336533,0.006528714420616644,0.0032242008954274093,0.0033045135251892344,0.5061507231429981
5,113,petfold,121,130,19,0.011530524744237436,0.0024168269183328928,0.009113697825904543,0.790397490839197,0.01046495967480976,0.004117386318063132,0.0063475733567466275,0.6065549752691253
5,113,rnafold,121,130,20,0.011274677119972099,0.002311809809938503,0.008962867310033595,0.7949555641071676,0.010297285709574222,0.0036489443727083515,0.006648341336865871,0.6456401739619955
5,113,trrosettarna2_native_ss,121,130,13,0.005338625706887368,0.0003658058050182156,0.004972819901869152,0.9314794059178396,0.008443766452545742,0.004150070710431719,0.004293695742114023,0.5085047965555112
10,101,petfold,121,180,15,0.007606854075230318,0.0011813895980572475,0.006425464477173071,0.8446940632259364,0.008875739644970349,0.003858902555896493,0.005016837089073856,0.5652303120356585
10,101,rnafold,121,180,15,0.00751760026542414,0.0011093807261084443,0.006408219539315696,0.8524288753139958,0.00864259838129644,0.0036489443727083515,0.004993654008588089,0.5777954485765439
10,101,trrosettarna2_native_ss,121,180,19,0.00858516009321797,0.0011214821072473846,0.007463677985970585,0.8693696919952228,0.012977568775989323,0.006707001438944538,0.006270567337044786,0.4831850591804519
10,103,petfold,121,180,20,0.008122574543217742,0.001076552553270993,0.007046021989946749,0.8674616591644699,0.010279361240331686,0.0036005723788529176,0.006678788861478768,0.6497280040392143
10,103,rnafold,121,180,18,0.0071740083038737135,0.0009182780955638847,0.006255730208309829,0.8719992984858902,0.00937397235472559,0.00338729586275488,0.0059866764919707105,0.6386488316186166
10,103,trrosettarna2_native_ss,121,180,23,0.009303004835822248,0.0014538545262958724,0.007849150309526376,0.8437220498158138,0.014289166535011999,0.006707001438944538,0.007582165096067461,0.5306233276440077
10,107,petfold,121,180,22,0.009305718491826487,0.0015080658290551607,0.007797652662771326,0.8379420320548334,0.011719822048193773,0.0043760238023601294,0.007343798245833644,0.6266134601391367
10,107,rnafold,121,180,21,0.00828420097496696,0.0009530808111708478,0.007331120163796112,0.8849519930708044,0.010889878302166811,0.00391074890443277,0.006979129397734041,0.6408822214611315
10,107,trrosettarna2_native_ss,121,180,23,0.008103890105380152,0.0010162663650239434,0.007087623740356208,0.8745952435424504,0.014289166535011999,0.006707001438944538,0.007582165096067461,0.5306233276440077
10,109,petfold,121,180,27,0.01121717269707767,0.0019369902239724235,0.009280182473105247,0.8273192116871791,0.014154188569941106,0.0051528599605522585,0.009001328609388848,0.6359480492230224
10,109,rnafold,121,180,26,0.010792161044023474,0.0018511089457530217,0.008941052098270452,0.8284765267862514,0.013589720324283738,0.004959530043460392,0.008630190280823347,0.6350528248474614
10,109,trrosettarna2_native_ss,121,180,24,0.009931728567158848,0.001723445537178181,0.008208283029980668,0.8264707371406542,0.01508450788647453,0.007173606147148903,0.007910901739325626,0.5244388347875046
10,113,petfold,121,180,19,0.007700511506688823,0.0012380197923299585,0.0064624917143588645,0.8392288887232245,0.01046495967480976,0.004117386318063132,0.0063475733567466275,0.6065549752691253
10,113,rnafold,121,180,19,0.007680267324285062,0.0012360782434220896,0.006444189080862972,0.8390579141023384,0.010228943427179171,0.00391074890443277,0.006318194522746401,0.6176781177573455
10,113,trrosettarna2_native_ss,121,180,19,0.008405259739455495,0.0009613324535346912,0.007443927285920804,0.8856272758565618,0.01321132209137732,0.0069402378698045775,0.0062710842215727425,0.4746749930247869
20,101,petfold,121,338,43,0.01596420069889859,0.0026709974838392547,0.013293203215059335,0.8326883046500704,0.02412750299354094,0.009843165167015444,0.014284337826525495,0.5920354804369722
20,101,rnafold,121,338,40,0.014115917781862053,0.0020485058089362296,0.012067411972925823,0.854879729352886,0.022149137561426113,0.008914865808413719,0.013234271753012394,0.597507316766165
20,101,trrosettarna2_native_ss,121,338,39,0.01569155386340193,0.0017865403949353098,0.01390501346846662,0.8861463682636216,0.023270362156679103,0.010454668766134434,0.012815693390544669,0.5507302939359835
20,103,petfold,121,338,43,0.01657138228142485,0.0028545204881841313,0.01371686179324072,0.8277439721257404,0.02229122474042644,0.008013166519724169,0.014278058220702272,0.6405237211936667
20,103,rnafold,121,338,42,0.01657251129356918,0.0030559125520359665,0.013516598741533215,0.8156035317820669,0.022537006780556368,0.00865007014868957,0.013886936631866797,0.6161837180546819
20,103,trrosettarna2_native_ss,121,338,44,0.017494449938532552,0.002510479519820752,0.0149839704187118,0.8564985164642831,0.028454677072331513,0.013999146093609749,0.014455530978721765,0.5080195056150504
20,107,petfold,121,338,48,0.018578807441596012,0.004077535457597148,0.014501271983998865,0.7805276000402496,0.028931723193234338,0.01299820530589757,0.015933517887336768,0.550728270864378
20,107,rnafold,121,338,45,0.017525017079138117,0.003943995233610442,0.013581021845527674,0.774950562627103,0.027785371120393698,0.012905942559194972,0.014879428561198726,0.5355130401795366
20,107,trrosettarna2_native_ss,121,338,45,0.01917454320981271,0.0029018717028165275,0.016272671506996184,0.8486601912200196,0.027588414519175597,0.012814291407400091,0.014774123111775506,0.5355191071783632
20,109,petfold,121,338,42,0.01615033356696227,0.003280425711598922,0.01286990785536335,0.7968818601796879,0.024062358433308173,0.010105219533534382,0.013957138899773791,0.5800403538355453
20,109,rnafold,121,338,42,0.01584032893142273,0.0033498540919141284,0.012490474839508603,0.788523703868992,0.02413305742434957,0.010241229653518147,0.013891827770831422,0.5756348036040789
20,109,trrosettarna2_native_ss,121,338,39,0.01681564881382791,0.002595892168513303,0.014219756645314607,0.8456264044728005,0.026115714191141337,0.013287828434041304,0.012827885757100033,0.4911941394063562
20,113,petfold,121,338,46,0.019667730097965186,0.004386722579620583,0.015281007518344603,0.7769583699913376,0.025110553781882428,0.009843165167015444,0.015267388614866984,0.608006846343731
20,113,rnafold,121,338,44,0.018133705771376074,0.0034412578967712992,0.014692447874604775,0.8102286460275924,0.023455331592094786,0.008914865808413719,0.014540465783681067,0.619921561398078
20,113,trrosettarna2_native_ss,121,338,44,0.01812587929194609,0.0024566594770173422,0.015669219814928748,0.864466741863998,0.027739965538771116,0.013287828434041304,0.014452137104729812,0.5209861232354668
50,101,petfold,121,875,116,0.045627550850808496,0.010436690267200954,0.03519086058360754,0.7712634127278383,0.06286995297241149,0.025034899534372657,0.037835053438038835,0.6017986597610716
50,101,rnafold,121,875,113,0.04396430274875551,0.009743042560011572,0.03422126018874394,0.7783874200009377,0.06180211757804244,0.025098529701657935,0.0367035878763845,0.5938888393271633
