variant,fold,seed,mode,source_model,macro_delta_f1,micro_delta_f1,modification_precision,correct_pair_preservation,modified_pair_count,modified_rna_count
MODEL_SPECIFIC_RNAFOLD,3,67,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_UNGATED,rnafold,-0.06056186573349448,-0.06240000000000001,0.32,0.8191489361702128,75,16
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_SELECTIVE,rnafold,0.0,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_UNGATED,rnafold,-0.07671210935812152,-0.08017777777777779,0.29411764705882354,0.7872340425531915,85,19
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_SELECTIVE,rnafold,0.0,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_UNGATED,rnafold,-0.06471159137158779,-0.06967272727272722,0.29333333333333333,0.8120567375886525,75,15
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_SELECTIVE,rnafold,-0.0005256975866062922,-0.0003133226324237848,0.5,0.9964539007092199,2,2
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_SELECTIVE,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_SELECTIVE,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_UNGATED,rnafold,-0.0615719118081409,-0.06427050359712227,0.2898550724637681,0.8262411347517731,69,19
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_UNGATED,petfold,nan,0.0,0.0,1.0,0,0
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_UNGATED,trrosettarna2_native_ss,nan,0.0,0.0,1.0,0,0
