variant,fold,seed,mode,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,macro_delta_f1,micro_delta_f1,modified_pair_count,modified_rna_count,beneficial_edit_count,harmful_edit_count,modification_precision,delete_recall,beneficial_harmful_ratio,correct_pair_preservation
MODEL_SPECIFIC_RNAFOLD,1,67,LEARNED_UNGATED,0.9367211140308966,0.7676632395382396,0.8381854321911867,0.9348837209302325,0.7444444444444445,0.8288659793814434,-0.061979956237258695,-0.061243910728446704,61,23,19,42,0.3114754098360656,0.5757575757575758,0.4523809523809524,0.8271604938271605
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_UNGATED,0.9360299422799422,0.6638322631971421,0.758381531029011,0.93359375,0.5195652173913043,0.6675977653631285,-0.10895526250646327,-0.10602860826324512,194,24,81,113,0.4175257731958763,0.826530612244898,0.7168141592920354,0.6789772727272727
MODEL_SPECIFIC_RNAFOLD,2,17,LEARNED_SELECTIVE,0.8803639914818743,0.8613392721071528,0.8669453521194753,0.7900677200902935,0.7608695652173914,0.7751937984496124,-0.00039144141599881344,0.0015674248232387944,7,2,5,2,0.7142857142857143,0.05102040816326531,2.5,0.9943181818181818
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_UNGATED,0.9281822344322345,0.6299952634792815,0.7333185946976483,0.926829268292683,0.4956521739130435,0.6458923512747875,-0.13401819883782587,-0.12773402235158615,204,24,80,124,0.39215686274509803,0.8163265306122449,0.6451612903225806,0.6477272727272727
MODEL_SPECIFIC_RNAFOLD,2,29,LEARNED_SELECTIVE,0.8801738080638742,0.8628198800736099,0.8675969561371003,0.7857142857142857,0.7652173913043478,0.775330396475771,0.0002601626016260165,0.001704022849397302,2,1,2,0,1.0,0.02040816326530612,inf,1.0
MODEL_SPECIFIC_RNAFOLD,2,41,LEARNED_UNGATED,0.925936100936101,0.6047138018407319,0.712054137223979,0.9273504273504274,0.4717391304347826,0.6253602305475504,-0.15528265631149502,-0.14826614307882324,216,24,81,135,0.375,0.826530612244898,0.6,0.6164772727272727
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_UNGATED,0.9253151260504202,0.6597216101666789,0.7529269555757182,0.9260700389105059,0.5173913043478261,0.6638772663877266,-0.11440983795975596,-0.10974910723864706,193,23,79,114,0.40932642487046633,0.8061224489795918,0.6929824561403509,0.6761363636363636
MODEL_SPECIFIC_RNAFOLD,2,53,LEARNED_SELECTIVE,0.8822412643567362,0.8613392721071528,0.867931433683968,0.7936507936507936,0.7608695652173914,0.7769145394006659,0.0005946401484937918,0.003288165774292251,9,3,7,2,0.7777777777777778,0.07142857142857142,3.5,0.9943181818181818
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_UNGATED,0.9169642857142858,0.6688274124310798,0.7553102765196419,0.9090909090909091,0.5217391304347826,0.6629834254143646,-0.11202651701583227,-0.11064294821200904,186,23,74,112,0.3978494623655914,0.7551020408163265,0.6607142857142857,0.6818181818181818
MODEL_SPECIFIC_RNAFOLD,2,67,LEARNED_SELECTIVE,0.8821853037909073,0.8597669450631277,0.867047549336346,0.7945205479452054,0.7565217391304347,0.7750556792873051,-0.00028924419912831206,0.001429305660931468,12,4,8,4,0.6666666666666666,0.08163265306122448,2.0,0.9886363636363636
