variant,fold,seed,mode,delete_precision,delete_recall,delete_f1,auroc,auprc,tp,fp,fn
MODEL_SPECIFIC_RNAFOLD,3,53,LEARNED_UNGATED,0.175,0.4666666666666667,0.2545454545454545,0.8276422764227642,0.15986663028419681,7,33,8
MODEL_SPECIFIC_RNAFOLD,3,53,LEARNED_SELECTIVE,0.0,0.0,0.0,0.8276422764227642,0.15986663028419681,0,3,15
MODEL_SPECIFIC_RNAFOLD,3,67,LEARNED_UNGATED,0.1951219512195122,0.5333333333333333,0.2857142857142857,0.8034843205574913,0.16591983374954689,8,33,7
MODEL_SPECIFIC_RNAFOLD,3,67,LEARNED_SELECTIVE,0.0,0.0,0.0,0.8034843205574913,0.16591983374954689,0,2,15
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_UNGATED,0.32,0.631578947368421,0.4247787610619469,0.7837812616648003,0.35318851329380274,24,51,14
MODEL_SPECIFIC_RNAFOLD,4,17,LEARNED_SELECTIVE,0.0,0.0,0.0,0.7837812616648003,0.35318851329380274,0,0,38
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_UNGATED,0.29411764705882354,0.6578947368421053,0.4065040650406504,0.7967525195968646,0.3637311376217976,25,60,13
MODEL_SPECIFIC_RNAFOLD,4,29,LEARNED_SELECTIVE,0.0,0.0,0.0,0.7967525195968646,0.3637311376217976,0,0,38
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_UNGATED,0.29333333333333333,0.5789473684210527,0.3893805309734513,0.7808883911907428,0.34045678865452256,22,53,16
MODEL_SPECIFIC_RNAFOLD,4,41,LEARNED_SELECTIVE,0.5,0.02631578947368421,0.05,0.7808883911907428,0.34045678865452256,1,1,37
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_UNGATED,0.2898550724637681,0.5263157894736842,0.37383177570093457,0.7714632325494587,0.3335437740065968,20,49,18
MODEL_SPECIFIC_RNAFOLD,4,53,LEARNED_SELECTIVE,0.0,0.0,0.0,0.7714632325494587,0.3335437740065968,0,0,38
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_UNGATED,0.2894736842105263,0.5789473684210527,0.38596491228070173,0.770996640537514,0.30467639161154797,22,54,16
MODEL_SPECIFIC_RNAFOLD,4,67,LEARNED_SELECTIVE,0.0,0.0,0.0,0.770996640537514,0.30467639161154797,0,1,38
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_UNGATED,0.21428571428571427,0.5714285714285714,0.3116883116883117,0.7067099567099567,0.33080432685399014,24,88,18
MODEL_SPECIFIC_PETFOLD,0,17,LEARNED_SELECTIVE,0.37037037037037035,0.23809523809523808,0.2898550724637681,0.7067099567099567,0.33080432685399014,10,17,32
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_UNGATED,0.22857142857142856,0.5714285714285714,0.32653061224489793,0.7118119975262832,0.29823815315918395,24,81,18
MODEL_SPECIFIC_PETFOLD,0,29,LEARNED_SELECTIVE,0.3333333333333333,0.14285714285714285,0.2,0.7118119975262832,0.29823815315918395,6,12,36
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_UNGATED,0.22522522522522523,0.5952380952380952,0.32679738562091504,0.7165275200989487,0.30588457933241564,25,86,17
MODEL_SPECIFIC_PETFOLD,0,41,LEARNED_SELECTIVE,0.42857142857142855,0.21428571428571427,0.2857142857142857,0.7165275200989487,0.30588457933241564,9,12,33
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_UNGATED,0.19791666666666666,0.4523809523809524,0.2753623188405797,0.673778602350031,0.25318748538386937,19,77,23
MODEL_SPECIFIC_PETFOLD,0,53,LEARNED_SELECTIVE,0.3157894736842105,0.14285714285714285,0.19672131147540983,0.673778602350031,0.25318748538386937,6,13,36
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_UNGATED,0.22522522522522523,0.5952380952380952,0.32679738562091504,0.7134353741496599,0.2982890412270554,25,86,17
MODEL_SPECIFIC_PETFOLD,0,67,LEARNED_SELECTIVE,0.4444444444444444,0.09523809523809523,0.1568627450980392,0.7134353741496599,0.2982890412270554,4,5,38
MODEL_SPECIFIC_PETFOLD,1,17,LEARNED_UNGATED,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.7791551882460973,0.3991841779212262,20,36,16
MODEL_SPECIFIC_PETFOLD,1,29,LEARNED_UNGATED,0.3283582089552239,0.6111111111111112,0.42718446601941745,0.7977502295684114,0.3771659281482475,22,45,14
MODEL_SPECIFIC_PETFOLD,1,41,LEARNED_UNGATED,0.328125,0.5833333333333334,0.42,0.7769742883379247,0.38568538043853257,21,43,15
MODEL_SPECIFIC_PETFOLD,1,53,LEARNED_UNGATED,0.3584905660377358,0.5277777777777778,0.42696629213483145,0.7527548209366391,0.37422588642142335,19,34,17
MODEL_SPECIFIC_PETFOLD,1,67,LEARNED_UNGATED,0.36,0.5,0.4186046511627907,0.7295684113865932,0.3444592791424135,18,32,18
MODEL_SPECIFIC_PETFOLD,2,17,LEARNED_UNGATED,0.4198895027624309,0.7378640776699029,0.5352112676056338,0.7729606070751033,0.4549124763407201,76,105,27
MODEL_SPECIFIC_PETFOLD,2,29,LEARNED_UNGATED,0.43005181347150256,0.8058252427184466,0.5608108108108109,0.8223970539002343,0.5487343159786404,83,110,20
MODEL_SPECIFIC_PETFOLD,2,41,LEARNED_UNGATED,0.41708542713567837,0.8058252427184466,0.5496688741721855,0.8142506416694565,0.5291684108203675,83,116,20
