condition,track,seed,event_n_events,event_positive_count,event_positive_prevalence,event_auprc,event_auroc,event_brier,event_ece,rna_rna_count,rna_positive_prevalence,rna_auprc,rna_auroc,rna_brier,rna_ece,event_context_count,event_pair_event_count,event_tp_before,event_fp_before,event_fn_before,event_tp_after,event_fp_after,event_fn_after,event_lost_tp,event_removed_fp,event_deleted_pair_count,event_tp_preservation,event_fp_removal,event_modification_precision,event_coverage,event_resulting_precision,event_resulting_recall,event_resulting_f1,event_original_precision,event_original_recall,event_original_f1,event_delta_f1,rna_lost_tp,rna_removed_fp,rna_deleted_pair_count,rna_tp_preservation,rna_fp_removal,rna_modification_precision,rna_coverage,rna_resulting_precision,rna_resulting_recall,rna_resulting_f1,rna_original_precision,rna_original_recall,rna_original_f1,rna_delta_f1,evidence_item_count,fp_removed_per_evidence_item,delta_f1_per_evidence_item,rna_balanced_fp_removed_per_evidence_item,rna_balanced_fp_removed_per_evidence_item_defined_rnas,rna_balanced_delta_f1_per_evidence_item,rna_balanced_delta_f1_per_evidence_item_defined_rnas,zero_denominator_is_na,source
ERN,positive_pair,29,48945,6255,0.12779650628256206,0.6479673878342572,0.9056763546763901,0.0671526853896816,0.01631723659681796,121,0.10474439764694968,0.7601109647058334,0.8721230163741774,0.05882815751550289,0.09962064269899269,3523,48945,42690,6255,5200,42394,4961,5496,296,1294,1590,0.9930662918716328,0.20687450039968025,0.8138364779874214,0.03248544284400858,0.8952380952380953,0.885237001461683,0.8902094598141634,0.872203493717438,0.8914178325328879,0.8817059947333091,0.008503465080854311,296,1294,1590,0.9948103141897626,0.22511378852723832,0.7723642726886824,0.024222234108312278,0.9095901418318727,0.904129174541159,0.909540829560753,0.8952556023530502,0.9077787598919441,0.904322964758978,0.005217864801774608,7360,0.17581521739130435,1.1553621033769445e-06,0.1817624361458226,121,7.808735639335181e-05,120,True,petfold
ERN,positive_pair,29,54559,11513,0.21101926354955186,0.923058331256842,0.9615867151164765,0.049577021636382695,0.03841212122983627,121,0.20943634431658956,0.9277796714482258,0.9601146652966078,0.047007678848369545,0.10181698815658717,3523,54559,43046,11513,4844,42581,2973,5309,465,8540,9005,0.9891976025646982,0.7417701728480848,0.9483620210993893,0.16505067908136145,0.9347367958905913,0.8891417832532887,0.9113693763109456,0.7889807364504481,0.8988515347671747,0.840340071645404,0.07102930466554158,465,8540,9005,0.9932235326183094,0.7914019782155542,0.9506698529427866,0.16722222817899132,0.9112742108268319,0.9060755425144734,0.9432742798824797,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.0640722534186119,7360,1.1603260869565217,9.650720742600758e-06,1.614914453519345,121,0.0013109558486587324,116,True,trrosettarna2_native_ss
ERN,unpaired,29,50790,6600,0.1299468399291199,0.5878797676131042,0.8889796299725017,0.07354818595121833,0.018279082989814198,121,0.09306258383818086,0.7126034836117676,0.8295530442794097,0.056787625783656176,0.09764446374418578,3630,50790,44190,6600,6090,43686,5486,6594,504,1114,1618,0.9885947046843178,0.1687878787878788,0.688504326328801,0.03185666469777515,0.8884324412267144,0.868854415274463,0.878534368338495,0.8700531600708801,0.8788782816229117,0.8744434550311665,0.00409091330732847,504,1114,1618,0.9941261833507063,0.1980338027129833,0.8669294232677641,0.022456789267266117,0.9176952619004812,0.9090539076361763,0.9167733163755958,0.9069374161618189,0.913867030654728,0.9133660920071889,0.003407224368406671,8230,0.1353584447144593,4.970733058722321e-07,0.09555937587357445,121,7.358274290875147e-05,120,True,rnafold
ERN,unpaired,29,51120,7230,0.1414319248826291,0.6503347535797014,0.9020843303404998,0.07286714896467011,0.020905452456359427,121,0.10474439764694968,0.7614666442691733,0.8578773266860629,0.057176804806540756,0.09767458887511203,3630,51120,43890,7230,6390,43390,5729,6890,500,1501,2001,0.9886078833447255,0.20760719225449517,0.7501249375312344,0.03914319248826291,0.8833648893503532,0.8629673826571201,0.8730470125453978,0.8585680751173709,0.8729116945107399,0.8656804733727811,0.0073665391726167595,500,1501,2001,0.9942023839532227,0.2639522067970343,0.8879961574504688,0.02809173824324411,0.9113571877579995,0.9029890370541935,0.9104359611001652,0.8952556023530502,0.9077787598919441,0.904322964758978,0.006112996341187024,8230,0.18238153098420412,8.950837390785856e-07,0.1493538488993638,121,0.00012076859795282317,120,True,petfold
ERN,unpaired,29,56790,12960,0.22820919175911253,0.9244267193184649,0.9618785332217913,0.05153967185665976,0.03758803310099021,121,0.20943634431658956,0.9313052424287392,0.958059376320909,0.046285922006210005,0.10122302445277498,3630,56790,43830,12960,6450,43547,3645,6733,283,9315,9598,0.9935432352270135,0.71875,0.9705146905605334,0.1690086282796267,0.9227623325987455,0.8660898965791567,0.8935283978988837,0.7717908082408875,0.8717183770883055,0.8187167273746148,0.07481167052426896,283,9315,9598,0.9968230723618654,0.7814663837353906,0.9784288984757329,0.1584226734329932,0.9093286993584115,0.9097830265357993,0.94451745131308,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.06531542484921193,8230,1.1318347509113,9.090117925184564e-06,1.089279328686234,121,0.0011559399226859085,116,True,trrosettarna2_native_ss
ERN,combined,29,99424,12257,0.12328009333762471,0.5789382188648322,0.890293358623746,0.07092361234903746,0.01597774662786392,121,0.09306258383818086,0.7026665942194364,0.8381259024105165,0.05806482224192041,0.09740652302041224,7153,99424,87167,12257,11003,86314,10189,11856,853,2068,2921,0.990214186561428,0.16871991515052623,0.7079767203012667,0.029379224332153203,0.8944177901205144,0.8792299073036569,0.8867588212027349,0.8767199066623753,0.8879189161658347,0.8822838750164478,0.0044749461862870765,853,2068,2921,0.9940560783494693,0.18384110567699266,0.7912492075437064,0.020999982466169503,0.9168380197566433,0.9093707540201711,0.9161319430388652,0.9069374161618189,0.913867030654728,0.9133660920071889,0.002765851031676218,15590,0.13264913406029505,2.8703952445715694e-07,0.10142174117130061,121,2.8679895534635097e-05,120,True,rnafold
ERN,combined,29,100065,13485,0.13476240443711587,0.6485035387401177,0.9038934189601597,0.07007202160067788,0.016992272001097816,121,0.10474439764694968,0.7582465261563093,0.8660456792099079,0.05794985538004485,0.09647630780426275,7153,100065,86580,13485,11590,85784,10690,12386,796,2795,3591,0.9908061908061908,0.20726733407489803,0.7783347257031468,0.035886673662119624,0.8891929431763999,0.8738311093001936,0.8814450997718912,0.8652375955628842,0.8819394927167159,0.8735087144046207,0.007936385367270482,796,2795,3591,0.9945763192523387,0.24417306937627897,0.8376889105946045,0.026038257699049324,0.9103020972325995,0.9035753287226749,0.9099715543786577,0.8952556023530502,0.9077787598919441,0.904322964758978,0.005648589619679328,15590,0.17928159076330982,5.090689780160669e-07,0.14596306268890266,121,4.945220771705594e-05,120,True,petfold
ERN,combined,29,111349,24473,0.21978643723787372,0.9230112351347413,0.9617240288488671,0.05057800867721402,0.03752205158769872,121,0.20943634431658956,0.9259150279955305,0.9595705295327579,0.046801337697229474,0.1000449994033294,7153,111349,86876,24473,11294,86128,6618,12042,748,17855,18603,0.9913900271651549,0.7295795366322069,0.9597914314895447,0.16706930461881112,0.9286438229141958,0.8773352347967811,0.902260680089673,0.7802135627621263,0.8849546704695935,0.829289945064648,0.07297073502502494,748,17855,18603,0.9949936191173401,0.786011816248893,0.9585622203690587,0.16239142727532968,0.9100959223335429,0.9079253868523294,0.9438706000364079,0.7905636556834099,0.9120849106151279,0.8792020264638676,0.06466857357253977,15590,1.1452854393842207,4.680611611611606e-06,1.1888008349655466,121,0.0005870967555021747,116,True,trrosettarna2_native_ss
ERN,positive_pair,41,48634,5657,0.11631780236048855,0.6293049013079977,0.8952497413745472,0.062222232810896144,0.01994590395813869,121,0.09306258383818086,0.6849496737568507,0.8344137140481664,0.05611382905300006,0.09564549465076932,3523,48634,42977,5657,4913,42499,4311,5391,478,1346,1824,0.9888777718314448,0.2379353013964999,0.7379385964912281,0.037504626393058356,0.9079042939542833,0.8874295259970766,0.8975501583949312,0.8836821976395115,0.8974107329296304,0.8904935560067962,0.0070566023881349915,478,1346,1824,0.987425528878457,0.21142816095240768,0.7047525383872806,0.02919165102812139,0.9186641816359532,0.9061258617260988,0.9143003633093852,0.9069374161618189,0.913867030654728,0.9133660920071889,0.0009342713021960436,7360,0.1828804347826087,9.587774983879065e-07,0.19490127660361398,121,-7.196536143624208e-05,120,True,rnafold
ERN,positive_pair,41,48945,6255,0.12779650628256206,0.6961180077612756,0.9089809398674549,0.06112354657470176,0.02000926377593409,121,0.10474439764694968,0.7640388247749399,0.8655214404552585,0.05565919093017191,0.09431428007437045,3523,48945,42690,6255,5200,42271,4522,5619,419,1733,2152,0.9901850550480206,0.27705835331734613,0.8052973977695167,0.043967718868117275,0.9033616139166114,0.8826686155773648,0.8928952399057909,0.872203493717438,0.8914178325328879,0.8817059947333091,0.011189245172481765,419,1733,2152,0.9886349159205322,0.280699487958526,0.8153247954111211,0.033824414901939125,0.9122220313476761,0.9009427422030617,0.9086280830052602,0.8952556023530502,0.9077787598919441,0.904322964758978,0.004305118246281751,7360,0.23546195652173912,1.520277876695892e-06,0.24611412485988438,121,-8.920207195558173e-06,120,True,petfold
