condition,track,seed,event_n_events,event_positive_count,event_positive_prevalence,event_auprc,event_auroc,event_brier,event_ece,rna_rna_count,rna_positive_prevalence,rna_auprc,rna_auroc,rna_brier,rna_ece,event_context_count,event_pair_event_count,event_tp_before,event_fp_before,event_fn_before,event_tp_after,event_fp_after,event_fn_after,event_lost_tp,event_removed_fp,event_deleted_pair_count,event_tp_preservation,event_fp_removal,event_modification_precision,event_coverage,event_resulting_precision,event_resulting_recall,event_resulting_f1,event_original_precision,event_original_recall,event_original_f1,event_delta_f1,rna_lost_tp,rna_removed_fp,rna_deleted_pair_count,rna_tp_preservation,rna_fp_removal,rna_modification_precision,rna_coverage,rna_resulting_precision,rna_resulting_recall,rna_resulting_f1,rna_original_precision,rna_original_recall,rna_original_f1,rna_delta_f1,evidence_item_count,fp_removed_per_evidence_item,delta_f1_per_evidence_item,rna_balanced_fp_removed_per_evidence_item,rna_balanced_fp_removed_per_evidence_item_defined_rnas,rna_balanced_delta_f1_per_evidence_item,rna_balanced_delta_f1_per_evidence_item_defined_rnas,zero_denominator_is_na
ERN,unpaired,53,158700,26790,0.16880907372400755,0.8086046535364587,0.9312324374851597,0.0644283146262847,0.019242730649097758,121,0.14780537404819033,0.8994816757037496,0.9375299205552626,0.05415333831091053,0.08725745437407163,10890,158700,131910,26790,18930,130386,14445,20454,1524,12345,13869,0.988446668182852,0.4608062709966405,0.890114644170452,0.08739130434782609,0.9002630652277482,0.8643993635640413,0.8819667806447031,0.8311909262759924,0.874502784407319,0.8522969567745687,0.029669823870134393,1524,12345,13869,0.993285837464745,0.6649319562206842,0.9599187872462083,0.08050206833244558,0.9159573761078059,0.906411665061863,0.9071189261764713,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.028483629744378073,24690,0.5,1.201693959908238e-06,0.4539578840905706,121,0.00017044981954386022,121,True
ERN,combined,53,310838,50215,0.16154717248212896,0.8050091684894571,0.9301545615663768,0.062034711582419855,0.02009022177808843,121,0.14780537404819033,0.9009018611659158,0.9389244332670601,0.054298854539618295,0.08595308756794381,21459,310838,260623,50215,33887,257877,26954,36633,2746,23261,26007,0.9894637081147865,0.46322811908792194,0.8944130426423655,0.08366737657557956,0.9053684465525171,0.8756137312824692,0.8902425341897087,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.029174190030646363,2746,23261,26007,0.9926305396652743,0.6522207051531231,0.9388638779448334,0.0799926811223799,0.915087320483017,0.9061748227418832,0.9060814060671073,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.027446109635014416,46770,0.4973487278169767,6.237799878265205e-07,0.47827596519217175,121,8.622732400213861e-05,121,True
ERN,positive_pair,67,152138,23425,0.1539720516899131,0.8118751792826191,0.9282141893689319,0.05890438425544556,0.023237117365774364,121,0.14780537404819033,0.8913528267796367,0.9399383130889095,0.05251621039892258,0.08684605168746226,10569,152138,128713,23425,14957,127364,11619,16306,1349,11806,13155,0.9895193181729895,0.503991462113127,0.8974534397567465,0.08646754919875377,0.9163998474633588,0.886503793415466,0.9012039497192671,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.03095703280018447,1349,11806,13155,0.9911798573715217,0.6748448540090348,0.9313082484158792,0.08597234609938827,0.9199113337047726,0.9053414184145756,0.9070007455214601,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.028365449089366734,22080,0.5346920289855073,1.4020395289938618e-06,0.6924120640801192,121,0.00021587736775182642,121,True
ERN,unpaired,67,158700,26790,0.16880907372400755,0.8195710239882359,0.9308445174635652,0.06266749691036638,0.014513994055654882,121,0.14780537404819033,0.9044149768982132,0.9373274289928422,0.05086505987325743,0.08016861395057227,10890,158700,131910,26790,18930,130701,14074,20139,1209,12716,13925,0.9908346599954514,0.47465472191116087,0.9131777378815081,0.08774417139256459,0.902787083405284,0.8664876690533015,0.8842650068501261,0.8311909262759924,0.874502784407319,0.8522969567745687,0.031968050075557364,1209,12716,13925,0.994255058386826,0.6594105897444273,0.9672463207047192,0.08031744077257098,0.916095248566402,0.9073057131077216,0.9074847773822767,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.028849480950183345,24690,0.5150263264479547,1.2947772408083177e-06,0.45453558539578215,121,0.0001699696288165818,121,True
ERN,combined,67,310838,50215,0.16154717248212896,0.8154578963383541,0.9294248204287772,0.06082566150705717,0.016274223973511946,121,0.14780537404819033,0.8967595675845641,0.9386763107557338,0.05172135679132498,0.07986463276907523,21459,310838,260623,50215,33887,258065,25693,36445,2558,24522,27080,0.9901850565759738,0.4883401374091407,0.9055391432791728,0.08711933547378377,0.9094545352025317,0.876252079725646,0.8925446332842212,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.031476289125158874,2558,24522,27080,0.9928774715734681,0.6665834059576905,0.9443484736273513,0.08278466192451352,0.9175512791584098,0.90638910613152,0.9072224951852377,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.028587198753144166,46770,0.5243104554201411,6.730016917930056e-07,0.4972806077555331,121,8.916807674938832e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,17,152138,23425,0.1539720516899131,0.7766767183581111,0.9152915487163324,0.06434828684023518,0.027083997230373105,121,0.14780537404819033,0.8949254832127133,0.9209588613374922,0.05950518036718504,0.10132751715086533,10569,152138,128713,23425,14957,127778,13836,15892,935,9589,10524,0.9927357764949928,0.40934898612593384,0.9111554541999239,0.06917403935900301,0.9022977954157075,0.8893853970905548,0.8957950673714613,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.025548150452378682,935,9589,10524,0.9944123594876951,0.6323685295745043,0.9514976605885697,0.07234054463468022,0.9104883344382588,0.9071395621935965,0.9050344746863616,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.02639917825426848,22080,0.4342844202898551,1.1570720313577302e-06,0.5584915120098678,121,0.00019965015156516325,121,True
B4_EVIDENCE_MASKED,unpaired,17,158700,26790,0.16880907372400755,0.7858916367720586,0.9195341117493069,0.06800021213341755,0.02401063942433015,121,0.14780537404819033,0.8912589211904697,0.9225603570147581,0.05713025857351912,0.09867910744690958,10890,158700,131910,26790,18930,130590,16110,20250,1320,10680,12000,0.9899931771662497,0.3986562150055991,0.89,0.07561436672967864,0.8901840490797546,0.8657517899761337,0.8777979431336962,0.8311909262759924,0.874502784407319,0.8522969567745687,0.025500986359127453,1320,10680,12000,0.9912474908383396,0.6340546596999495,0.9465010822510821,0.07376406113443479,0.9098413296416229,0.9058884579650663,0.9037969613230805,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.025161664890987406,24690,0.43256379100850545,1.0328467541161382e-06,0.41522271153329865,121,0.00015295106032847693,121,True
B4_EVIDENCE_MASKED,combined,17,310838,50215,0.16154717248212896,0.7811515600492851,0.917558278577401,0.06621279679085268,0.02551487799842717,121,0.14780537404819033,0.8864079320676959,0.9218061228772908,0.05826108560862549,0.09540943960001279,21459,310838,260623,50215,33887,258368,29946,36142,2255,20269,22524,0.9913476554256532,0.4036443293836503,0.8998845675723672,0.07246218287339386,0.8961340760420929,0.8772809072697022,0.8866072776687302,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.02553893350966785,2255,20269,22524,0.9926011726963252,0.6333272156315704,0.94204747200672,0.07319127378300168,0.9100413224599803,0.9064497998908441,0.904347003031989,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.025711706599895832,46770,0.4333760957878982,5.460537419214849e-07,0.43675724420099754,121,8.100422415591558e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,29,152138,23425,0.1539720516899131,0.7635824645467196,0.9116387098045214,0.06739400245280565,0.02590836793172672,121,0.14780537404819033,0.8918578438314543,0.9215829771992556,0.06176005564503914,0.10416674430440502,10569,152138,128713,23425,14957,127725,14185,15945,988,9240,10228,0.9923240076759923,0.3944503735325507,0.9034024247164646,0.06722843733978362,0.9000422803185117,0.8890164961369805,0.8944954128440368,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.02424849592495415,988,9240,10228,0.9942896359637803,0.6201397745243713,0.9476844899111038,0.07019198151981547,0.9089509475536444,0.9074932831708992,0.9039727033284656,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.025337406896372608,22080,0.41847826086956524,1.0982108661664017e-06,0.5497046482461406,121,0.0001925750565629824,121,True
B4_EVIDENCE_MASKED,unpaired,29,158700,26790,0.16880907372400755,0.7735056964865853,0.9160577518877399,0.07116420606840576,0.030218734917064727,121,0.14780537404819033,0.8883287167217381,0.92156756351351,0.06060708437494791,0.10351607987559279,10890,158700,131910,26790,18930,130950,16260,19890,960,10530,11490,0.9927223106663634,0.393057110862262,0.9164490861618799,0.0724007561436673,0.8895455471775016,0.8681384248210023,0.8787116255661801,0.8311909262759924,0.874502784407319,0.8522969567745687,0.026414668791611362,960,10530,11490,0.9949545366346504,0.6399811333948969,0.9472591764670972,0.07153746503620463,0.9105075463920006,0.9074440534977396,0.9047610184536894,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.026125722021596454,24690,0.4264884568651276,1.0698529279712985e-06,0.41129875191641857,121,0.0001552814069388771,121,True
B4_EVIDENCE_MASKED,combined,29,310838,50215,0.16154717248212896,0.7681680953287812,0.9139773239429317,0.06931890003223125,0.028047594577244105,121,0.14780537404819033,0.8856475796189477,0.9215463863643385,0.061087087941508994,0.1014680245694347,21459,310838,260623,50215,33887,258675,30445,35835,1948,19770,21718,0.9925256021149323,0.3937070596435328,0.9103048162814256,0.06986919231239423,0.8946977033757609,0.8783233166955282,0.8864348988228844,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.025366554663822094,1948,19770,21718,0.994780207424999,0.630212317425492,0.9470530603556521,0.0709008605145765,0.9096728334889037,0.9075348372803409,0.904426376487596,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.02579108005550334,46770,0.4227068633739577,5.423680706397711e-07,0.4310769742782327,121,8.106375329044305e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,41,152138,23425,0.1539720516899131,0.7785056251785359,0.917379900270539,0.0634760749665448,0.027897248132807802,121,0.14780537404819033,0.8898781421150286,0.9205859400637363,0.05828019574030489,0.09821576026748566,10569,152138,128713,23425,14957,127406,13694,16264,1307,9731,11038,0.9898456255389898,0.4154108858057631,0.8815908679108534,0.07255255097345831,0.9029482636428066,0.8867961300201851,0.8947993117252518,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.02455239480616922,1307,9731,11038,0.9898580641410027,0.6445040068964543,0.953034524862111,0.07475159166692302,0.9096176643791367,0.905699739653972,0.9035139235201655,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.02487862708807252,22080,0.4407155797101449,1.1119744024533162e-06,0.5686433164613246,121,0.00018137490127896952,121,True
B4_EVIDENCE_MASKED,unpaired,41,158700,26790,0.16880907372400755,0.7740308614177231,0.91430403657589,0.06977530393971497,0.027732959195292905,121,0.14780537404819033,0.892022241941878,0.9214556906646353,0.05903935365848524,0.09698217027035456,10890,158700,131910,26790,18930,130380,16530,20460,1530,10260,11790,0.9884011826245167,0.3829787234042553,0.8702290076335878,0.07429111531190927,0.8874821319175005,0.8643595863166269,0.8757682619647355,0.8311909262759924,0.874502784407319,0.8522969567745687,0.023471305190166714,1530,10260,11790,0.9911705441893908,0.5975382197525764,0.943727453102453,0.07089256358798006,0.9063018558738082,0.9053566402506595,0.9018669027448346,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.023231606312741758,24690,0.4155528554070474,9.506401454097494e-07,0.39100148912644445,121,0.00014015481967906426,121,True
B4_EVIDENCE_MASKED,combined,41,310838,50215,0.16154717248212896,0.7752883501172313,0.9157491768562438,0.06669217994097772,0.02533954838059731,121,0.14780537404819033,0.8847144471312844,0.9213224564341809,0.05871762522676568,0.09299375917795821,21459,310838,260623,50215,33887,257786,30224,36724,2837,19991,22828,0.9891145447638927,0.3981081350194165,0.8757227965656211,0.07344018427605377,0.8950591993333564,0.8753047434722081,0.8850717571928861,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.024003413033823806,2837,19991,22828,0.9906858286587142,0.6208632504556624,0.9472687152390487,0.07268573572920767,0.9078682551208622,0.9055559262523579,0.9027110247372446,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.024075728305151436,46770,0.4274321146033782,5.132224296306138e-07,0.4244856733562161,121,7.60853042679888e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,53,152138,23425,0.1539720516899131,0.7660092195632011,0.9148672390281719,0.06537380676331946,0.024259200328119866,121,0.14780537404819033,0.8917020256015261,0.9221638883161233,0.05941432022448851,0.10040089171431693,10569,152138,128713,23425,14957,127938,14486,15732,775,8939,9714,0.9939788521749939,0.3816008537886873,0.9202182417129916,0.06384992572532833,0.8982896141099814,0.8904990603466277,0.8943773724719848,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.024130455552902164,775,8939,9714,0.995927975308824,0.6324254136613783,0.9575392245295158,0.0677251479937032,0.9077888030313207,0.9080525046967514,0.904255599273673,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.02562030284157999,22080,0.40484601449275365,1.0928648348234675e-06,0.5151341729250462,121,0.00019480984676305068,121,True
B4_EVIDENCE_MASKED,unpaired,53,158700,26790,0.16880907372400755,0.7581246774956989,0.9154006816721469,0.07212001457193097,0.022252132860999686,121,0.14780537404819033,0.8830606809240403,0.9224120151500768,0.06148912050155178,0.10674963294015133,10890,158700,131910,26790,18930,130980,17730,19860,930,9060,9990,0.9929497384580396,0.3381858902575588,0.9069069069069069,0.06294896030245746,0.8807746620940085,0.8683373110580748,0.8745117676514772,0.8311909262759924,0.874502784407319,0.8522969567745687,0.022214810876908464,930,9060,9990,0.9963056313982367,0.5632569365959964,0.9618229422353134,0.060988193199935876,0.9017495239228237,0.9084802748204696,0.9014005170565629,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.02276522062446998,24690,0.3669501822600243,8.997493267277628e-07,0.35742049754246047,121,0.00013720054867224745,121,True
B4_EVIDENCE_MASKED,combined,53,310838,50215,0.16154717248212896,0.7608063720109697,0.9152477160356747,0.06881811916794515,0.021263627040525104,121,0.14780537404819033,0.8819626506185936,0.9234375309429138,0.06041637914972134,0.10029671176026429,21459,310838,260623,50215,33887,258918,32216,35592,1705,17999,19704,0.9934579833706157,0.3584387135318132,0.9134693463256192,0.06338993301977236,0.8893430516531906,0.8791484160130386,0.8842163498644227,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.023148005705360353,1705,17999,19704,0.9960737434101692,0.5978900154539555,0.9563346067430952,0.06437829578314692,0.9046714754784383,0.9082487928823314,0.9028052731551728,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.024169976723079706,46770,0.3848407098567458,4.949327711216667e-07,0.3933399278234325,121,7.633116854384296e-05,121,True
B4_EVIDENCE_MASKED,positive_pair,67,152138,23425,0.1539720516899131,0.7722656345903212,0.916476277117024,0.06544233429164273,0.02386155048504808,121,0.14780537404819033,0.8889941958119041,0.9228065790682846,0.05959224871708765,0.10368096131939081,10569,152138,128713,23425,14957,127814,14163,15856,899,9262,10161,0.993015468522993,0.3953895410885806,0.9115244562543057,0.0667880476935414,0.9002444057840354,0.8896359713231712,0.8949087510108631,0.8460279483100869,0.8958933667432311,0.8702469169190826,0.024661834091780466,899,9262,10161,0.9930820881144622,0.6009662679552271,0.9502665901525443,0.07028931909831673,0.908034166354441,0.9066321505576369,0.9029440059098984,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.02430870947780566,22080,0.41947463768115945,1.1169308918378835e-06,0.5519533197981885,121,0.00018453186898984266,121,True
B4_EVIDENCE_MASKED,unpaired,67,158700,26790,0.16880907372400755,0.7753692970865149,0.9149590693644577,0.07046519392566925,0.017513374147950567,121,0.14780537404819033,0.8910345305170875,0.9223858734250039,0.05893758925669612,0.0991884061480919,10890,158700,131910,26790,18930,130980,17010,19860,930,9780,10710,0.9929497384580396,0.3650615901455767,0.9131652661064426,0.06748582230623819,0.8850598013379283,0.8683373110580748,0.8766188133721514,0.8311909262759924,0.874502784407319,0.8522969567745687,0.02432185659758268,930,9780,10710,0.9941854880263165,0.5872735015764836,0.952515060450492,0.06822308528963514,0.9067407814644871,0.906817628895103,0.9027182883183591,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.02408299188626592,24690,0.39611178614823817,9.85089372117565e-07,0.3878112171291775,121,0.00014271816645036725,121,True
B4_EVIDENCE_MASKED,combined,67,310838,50215,0.16154717248212896,0.7732148868276432,0.9158513863159429,0.06800678208733978,0.020466892711177475,121,0.14780537404819033,0.8827796397892956,0.9215829535705323,0.05920861783224944,0.09792642824485973,21459,310838,260623,50215,33887,258794,31173,35716,1829,19042,20871,0.9929822003430242,0.3792093995817983,0.9123664414738153,0.06714430024643062,0.8924946631858108,0.8787273776781773,0.8855575155224245,0.8384528275178711,0.8849376931173815,0.8610683441590623,0.02448917136336215,1829,19042,20871,0.993707910461157,0.5938875474749052,0.9442381877562065,0.06907744383920607,0.9071837382433933,0.9067413063894242,0.902806215859323,0.8521946259518088,0.9112435670539332,0.8786352964320927,0.024170919427230105,46770,0.407141329912337,5.236085388788144e-07,0.41482541917106763,121,7.554758945236509e-05,121,True
