condition,track,source,metric,mean,population_sd,min,max,n
ERN,positive_pair,petfold,event_fp_removal,0.24940047961630696,0.037560486589629564,0.20319744204636292,0.29544364508393284,5
ERN,positive_pair,petfold,event_modification_precision,0.817041151797374,0.0076467086260170415,0.8052973977695167,0.8261738261738262,5
ERN,positive_pair,petfold,event_coverage,0.03899887628971295,0.005794532614919196,0.031852078864031054,0.045786086423536626,5
ERN,positive_pair,petfold,event_delta_f1,0.010385562518646063,0.00166160875016333,0.008381750344150007,0.012579055058432376,5
ERN,positive_pair,petfold,event_resulting_precision,0.9002096510097204,0.004389375521489844,0.8948212552230617,0.9056397738951696,5
ERN,positive_pair,petfold,event_resulting_recall,0.8841344748381708,0.0010796522291657213,0.8826686155773648,0.885404050950094,5
ERN,positive_pair,petfold,event_resulting_f1,0.8920915572519552,0.00166160875016333,0.8900877450774591,0.8942850497917415,5
ERN,positive_pair,petfold,event_lost_tp,348.8,51.70454525474525,288.0,419.0,5
ERN,positive_pair,petfold,event_removed_fp,1560.0,234.94084361813293,1271.0,1848.0,5
ERN,positive_pair,petfold,rna_tp_preservation,0.9925209727903497,0.002472445115377342,0.9886349159205322,0.9948103141897626,5
ERN,positive_pair,petfold,rna_fp_removal,0.258065563246788,0.03507698517499726,0.20726539872002595,0.29588741684110237,5
ERN,positive_pair,petfold,rna_modification_precision,0.7933911468338282,0.014930167875993652,0.7723642726886824,0.8153247954111211,5
ERN,positive_pair,petfold,rna_coverage,0.028830721127891572,0.005210691393550658,0.021388460987935235,0.03451484015708574,5
ERN,positive_pair,petfold,rna_delta_f1,0.005341190292661043,0.0009069348217861774,0.004305118246281751,0.006734533532607227,5
ERN,positive_pair,petfold,rna_resulting_precision,0.9113755461894393,0.0023070871378034785,0.907822919599688,0.9136425557273631,5
ERN,positive_pair,petfold,rna_resulting_recall,0.9028558087302552,0.0012763276699955407,0.9009427422030617,0.9042130536911006,5
ERN,positive_pair,petfold,rna_resulting_f1,0.9096641550516396,0.0009069348217861934,0.9086280830052602,0.9110574982915857,5
ERN,positive_pair,trrosettarna2_native_ss,event_auprc,0.9210889601282999,0.0056796838671008985,0.9103709720988364,0.9270851257798873,5
ERN,positive_pair,trrosettarna2_native_ss,event_auroc,0.95988870308917,0.0015224749656182505,0.9572403822736858,0.9615867151164765,5
ERN,positive_pair,trrosettarna2_native_ss,event_brier,0.04874820041504872,0.0012195945553925883,0.04690237838540381,0.05050100050639105,5
ERN,positive_pair,trrosettarna2_native_ss,event_ece,0.0367143385657492,0.002177444274595529,0.0343055463616457,0.04008757362965362,5
ERN,positive_pair,trrosettarna2_native_ss,rna_auprc,0.9280946125663292,0.0027519364216987293,0.9236150903365843,0.931829091613836,5
ERN,positive_pair,trrosettarna2_native_ss,rna_auroc,0.9594855261243419,0.0009486852299409227,0.9581871084889718,0.9607040713725142,5
ERN,positive_pair,trrosettarna2_native_ss,rna_brier,0.046132062172112,0.001112515915532678,0.04483891497139543,0.0478399209841759,5
ERN,positive_pair,trrosettarna2_native_ss,rna_ece,0.09943494353676804,0.002781720458893374,0.09679011752084216,0.10362923070902658,5
ERN,positive_pair,trrosettarna2_native_ss,event_tp_preservation,0.9887701528597315,0.002393740712921543,0.9862008084374855,0.9930771732565162,5
ERN,positive_pair,trrosettarna2_native_ss,event_fp_removal,0.7521758012681317,0.013115827024695655,0.7349952227916269,0.7729523147746026,5
ERN,positive_pair,trrosettarna2_native_ss,event_modification_precision,0.9473757130765375,0.010193389210552899,0.9361564918314703,0.9659817351598173,5
ERN,positive_pair,trrosettarna2_native_ss,event_coverage,0.16758371671035027,0.004440975675198389,0.16056012756832053,0.1733719459667516,5
ERN,positive_pair,trrosettarna2_native_ss,event_delta_f1,0.0719855899839347,0.0008620289323413808,0.07102930466554158,0.0734356031583383,5
ERN,positive_pair,trrosettarna2_native_ss,event_resulting_precision,0.9371914365386564,0.0030030850998951585,0.9333828249525099,0.942039911308204,5
ERN,positive_pair,trrosettarna2_native_ss,event_resulting_recall,0.8887575694299436,0.002151617513644202,0.8864481102526623,0.8926289413238672,5
ERN,positive_pair,trrosettarna2_native_ss,event_resulting_f1,0.9123256616293387,0.0008620289323413808,0.9113693763109456,0.9137756748037423,5
